@relation HK2.arff-weka.filters.unsupervised.attribute.Standardize

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute CLASS {WildType,HitMain1,HitMain2,Mitotic,NO_TET,Garbage}

@data
-0.864946,-1.078659,-1.002913,-1.299344,0.679515,0.746797,0.29914,0.147412,0.713306,0.859308,-0.572757,4.801465,-2.452496,-0.535377,-0.963784,0.555628,-1.055837,-0.152024,0.862154,4.258545,2.096648,2.034491,-2.077839,-0.770206,-1.034249,NO_TET
-0.864946,-1.078659,-1.002913,-1.299344,0.679515,0.746797,0.29914,0.147412,0.713306,0.859308,-0.572757,4.801465,-2.452496,-0.535377,-0.963784,0.555628,-1.055837,-0.152024,0.862154,4.258545,2.096648,2.034491,-2.077839,-0.770206,-1.034249,NO_TET
1.180276,1.647379,1.137993,0.871961,0.566539,0.267081,0.273865,0.217727,0.326355,0.497583,0.18014,-0.372508,0.382701,-0.249994,0.509346,1.026212,-0.341135,0.222024,0.099665,-0.185883,0.006672,-0.325131,0.418336,0.685077,0.660472,WildType
0.118201,-0.018989,-0.035039,-0.514102,-0.278674,-0.557627,0.083752,-0.422138,-0.241271,-0.559864,-0.368016,0.671285,-0.171852,-0.284502,-0.125485,0.780399,-0.481273,0.210145,0.50185,0.484037,0.619491,0.801494,-0.148878,-0.662054,-0.138608,WildType
0.530065,0.229019,0.57304,-0.127791,0.068175,-0.352394,0.31892,-0.021343,0.177134,-0.213263,0.101686,-0.485287,0.312126,-0.624872,0.438661,1.284199,-0.578539,0.140775,0.031366,-0.540398,-0.227542,-0.224319,0.328118,-0.447093,0.10563,WildType
0.49154,-0.088677,0.284095,-0.55584,-0.388483,-0.794337,0.172764,-0.239319,-0.229568,-0.777907,-0.278071,1.010728,-0.20757,-0.132279,-0.073163,0.062474,-0.325458,0.254811,0.567984,1.266519,0.870988,0.82703,-0.165368,0.302044,0.132051,WildType
-0.701767,-0.579569,-0.453979,0.468178,-0.377396,-0.41409,0.016718,-0.696365,-0.235419,-0.559864,-0.076181,0.241652,0.501177,1.098121,0.215084,-0.467891,1.058738,0.471687,0.382809,0.484478,0.491331,-0.613371,0.561856,0.438141,0.661415,HitMain2
-0.606866,-0.917762,-0.542695,-0.41801,-0.244358,-0.270553,0.118917,-0.696365,-0.14179,-0.431306,-0.180065,0.230744,0.442983,0.725007,0.179601,-0.371244,0.756783,0.459591,0.45105,0.385041,0.433152,-0.240824,0.431843,0.825876,-0.564647,HitMain2
-0.682974,-0.818353,-0.649279,-0.566517,-0.046385,-0.099316,0.058477,-0.541673,0.019135,-0.121257,0.694754,-0.467477,0.574828,0.215817,0.57638,-0.316316,0.321548,0.173543,0.019501,-0.273406,-0.07665,-0.690942,0.511521,-0.611941,-0.224004,HitMain2
-0.358495,-0.542675,-0.116979,0.402175,0.42611,0.177686,0.239798,0.288042,0.303679,0.370286,-0.333928,0.330499,0.43317,0.857917,0.104102,-0.290592,0.839189,0.517146,0.551505,0.408232,0.50312,-0.257767,0.462896,1.583746,-0.393539,HitMain2
-0.24856,-0.526278,0.03766,0.42547,0.700105,0.571783,0.405735,1.7084,0.78938,0.796289,-0.143355,-0.056226,0.521746,0.671194,0.274014,-0.455266,0.739315,0.438903,0.400443,0.019328,0.234269,-0.406754,0.487685,1.416346,0.623671,HitMain2
-0.577111,-0.410472,-0.594755,-0.384038,-0.533135,-0.842183,0.098038,-0.450263,-0.362696,-0.916547,0.551344,-0.472847,0.697541,1.054007,0.659085,-0.476399,1.173764,0.297806,0.079727,-0.155888,-0.076559,-0.987577,0.623422,0.545353,-0.914096,HitMain2
-0.358495,-0.542675,-0.116979,0.402175,0.42611,0.177686,0.239798,0.288042,0.303679,0.370286,-0.333928,0.330499,0.43317,0.857917,0.104102,-0.290592,0.839189,0.517146,0.551505,0.408232,0.50312,-0.257767,0.462896,1.583746,-0.393539,HitMain2
-0.400778,-0.612363,-0.052597,1.063175,0.44142,0.155022,0.250787,0.23179,0.316114,0.370286,0.114375,0.381672,0.44404,0.9692,0.193848,-0.570751,0.96904,0.377304,0.333843,0.709649,0.602426,-0.486082,0.505804,-0.304144,2.003227,HitMain2
-0.624092,-0.710747,-0.515588,-0.039463,-0.21585,-0.101834,0.082653,-0.844026,-0.140327,-0.322915,0.035111,-0.364816,0.715037,1.522976,0.467679,-0.28672,1.497445,0.540217,0.239403,-0.241546,-0.005198,-1.238062,0.72266,-0.210905,-0.712479,HitMain2
-0.593085,-0.610314,-0.551937,-0.40248,-0.344665,-0.600436,0.093642,-0.38698,-0.309299,-0.658172,-0.333348,-0.087297,0.542781,0.789925,0.188346,0.388698,0.592283,0.59254,0.426041,-0.218755,0.097042,-0.603015,0.595342,-0.570292,-0.061703,HitMain2
-0.577111,-0.410472,-0.594755,-0.384038,-0.533135,-0.842183,0.098038,-0.450263,-0.362696,-0.916547,0.551344,-0.472847,0.697541,1.054007,0.659085,-0.476399,1.173764,0.297806,0.079727,-0.155888,-0.076559,-0.987577,0.623422,0.545353,-0.914096,HitMain2
-0.577111,-0.410472,-0.594755,-0.384038,-0.533135,-0.842183,0.098038,-0.450263,-0.362696,-0.916547,0.551344,-0.472847,0.697541,1.054007,0.659085,-0.476399,1.173764,0.297806,0.079727,-0.155888,-0.076559,-0.987577,0.623422,0.545353,-0.914096,HitMain2
-2.339197,-1.164745,-2.454109,-1.377965,-3.146378,-1.506986,-3.681141,-1.793276,-3.417345,-2.010544,-1.425683,-1.724102,-2.733771,-2.144165,-3.481681,-2.852711,-1.963683,-3.443582,-3.44686,-2.178701,-3.201658,2.11598,-2.839365,-1.084988,-1.128925,Garbage
-2.339197,-1.164745,-2.454109,-1.377965,-3.146378,-1.506986,-3.681141,-1.793276,-3.417345,-2.010544,-1.425683,-1.724102,-2.733771,-2.144165,-3.481681,-2.852711,-1.963683,-3.443582,-3.44686,-2.178701,-3.201658,2.11598,-2.839365,-1.084988,-1.128925,Garbage
-2.339197,-1.164745,-2.454109,-1.377965,-3.146378,-1.506986,-3.681141,-1.793276,-3.417345,-2.010544,-1.425683,-1.724102,-2.733771,-2.144165,-3.481681,-2.852711,-1.963683,-3.443582,-3.44686,-2.178701,-3.201658,2.11598,-2.839365,-1.084988,-1.128925,Garbage
-2.339197,-1.164745,-2.454109,-1.377965,-3.146378,-1.506986,-3.681141,-1.793276,-3.417345,-2.010544,-1.425683,-1.724102,-2.733771,-2.144165,-3.481681,-2.852711,-1.963683,-3.443582,-3.44686,-2.178701,-3.201658,2.11598,-2.839365,-1.084988,-1.128925,Garbage
-2.339197,-1.164745,-2.454109,-1.377965,-3.146378,-1.506986,-3.681141,-1.793276,-3.417345,-2.010544,-1.425683,-1.724102,-2.733771,-2.144165,-3.481681,-2.852711,-1.963683,-3.443582,-3.44686,-2.178701,-3.201658,2.11598,-2.839365,-1.084988,-1.128925,Garbage
-0.038401,-0.153241,0.394991,1.385425,1.356847,2.049963,0.332107,0.477892,0.934212,1.975991,-0.640863,0.985698,0.399378,1.492733,-0.264278,0.085902,1.526821,0.711659,0.859969,0.671225,0.757579,-0.041056,0.425943,1.07738,2.163797,Garbage
-0.446192,-0.746616,-0.174583,0.622508,0.671596,0.542824,0.28925,0.189601,0.418521,0.69672,-0.470123,0.535557,0.297654,0.427348,-0.119327,-0.272268,0.506765,0.481334,0.627395,0.250368,0.480636,0.087502,0.321437,0.248304,0.422525,HitMain2
-0.438675,-0.725094,-0.261143,0.269198,0.785101,0.780793,0.262876,0.28101,0.419253,0.880734,-0.415374,0.210338,0.520629,1.17329,0.133242,-0.163363,1.147571,0.592713,0.575424,0.242749,0.4111,-0.416699,0.531741,-0.977508,1.489274,HitMain2
-0.446192,-0.746616,-0.174583,0.622508,0.671596,0.542824,0.28925,0.189601,0.418521,0.69672,-0.470123,0.535557,0.297654,0.427348,-0.119327,-0.272268,0.506765,0.481334,0.627395,0.250368,0.480636,0.087502,0.321437,0.248304,0.422525,HitMain2
-0.251066,-0.378703,0.113747,0.958347,0.26298,0.438319,0.189248,-0.379949,0.231994,0.328694,-0.175313,-0.589357,0.744819,1.249794,0.529513,-0.014185,1.339616,0.604919,0.339196,-0.604153,-0.30782,-1.080972,0.705877,0.996232,-0.684171,HitMain2
-0.656352,-0.728169,-0.598451,-0.379185,-0.214794,-0.488377,0.159577,-0.323697,-0.118383,-0.494325,-0.159281,0.177033,0.506111,1.053545,0.244075,-0.207025,0.955271,0.544143,0.474101,0.419627,0.441508,-0.450232,0.534404,-0.156359,-0.063748,HitMain2
-0.698948,-0.782484,-0.805457,-1.048921,0.510578,0.831157,0.334305,0.203664,0.44778,0.679075,-0.398743,0.446505,0.190539,-0.136709,-0.036696,0.347906,-0.03664,0.380604,0.546136,0.29234,0.487777,0.306813,0.183688,-0.63478,-0.80684,WildType
-0.306503,-0.430969,-0.077857,0.450706,0.290432,-0.025029,0.462879,0.224758,0.287587,0.042591,-0.453879,-0.342982,0.679595,1.233925,0.336572,0.250061,1.313412,0.716336,0.554459,-0.434323,-0.110853,-0.862079,0.674199,-0.046729,0.654495,HitMain2
-0.241357,-0.416621,-0.082786,-0.000638,0.935032,0.72917,0.434307,0.309136,0.880083,1.026936,0.412475,-0.697694,0.703015,0.485903,0.764782,0.062631,0.653786,0.352067,0.074667,-0.485992,-0.317708,-1.25354,0.692959,0.757895,0.445329,WildType
