%
@relation Huotari500_Standardized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {1,2,3,4}

@data
0.27166,0.11343,0.24122,0.16515,0.69761,0.40639,0.55832,0.3192,0.70209,0.60319,0.10765,0.21842,0.57722,0.15531,0.49865,0.33371,0.13296,0.68485,0.6453,0.19492,0.60151,0.70151,0.60509,0.2084,0.10443,1
0.35338,0.13251,0.35205,0.28707,0.65679,0.40721,0.58782,0.29464,0.72377,0.56808,0.39433,0.080393,0.49243,0.047114,0.756,0.072119,0.042381,0.38382,0.33911,0.09521,0.40115,0.72295,0.4307,0.2444,0.26633,2
0.30311,0.091519,0.27734,0.21855,0.6135,0.39986,0.5877,0.27443,0.65559,0.53143,0.082599,0.33811,0.63813,0.28082,0.43916,0.29649,0.24033,0.74215,0.71978,0.32075,0.72071,0.64724,0.68109,0.057207,0.16395,1
0.45051,0.32792,0.30624,0.20968,0.38578,0.36573,0.30589,0.3468,0.41632,0.40452,0.19496,0.19665,0.48319,0.11893,0.62135,0.16775,0.093792,0.56091,0.51229,0.22309,0.5611,0.69857,0.55021,0.21504,0.18257,1
0.36818,0.25371,0.21987,0.14656,0.74264,0.55183,0.64078,0.27945,0.75795,0.67663,0.6388,0.062617,0.52727,0.045767,0.83413,0.036566,0.037009,0.25082,0.22343,0.084669,0.32861,0.74565,0.33865,0.1822,0.094909,1
0.41566,0.27527,0.30952,0.19282,0.62589,0.6481,0.23679,0.17036,0.57629,0.69402,0.08957,0.18414,0.75062,0.19738,0.54646,0.52674,0.19529,0.75377,0.68423,0.17099,0.56913,0.52285,0.76382,0.086355,0.1345,1
0.12828,0.0063604,0.074384,0.043234,0.013546,0.014119,0.039605,0.0046223,0.016979,0.0082399,0.6829,0.23808,0.67659,0.21867,0.81578,0.074604,0.19392,0.29431,0.26594,0.3531,0.40171,0.47781,0.53923,0.43739,1,4
0.14339,0.19859,0.15205,0.18137,0.34854,0.33914,0.18226,0.19651,0.31431,0.37084,0.057997,0.21248,0.98204,0.74294,0.46258,0.55822,0.73251,0.90099,0.74381,0.16672,0.59178,0.040052,0.98749,0.069316,0.031376,1
0.47857,0.3258,0.54696,0.57285,0.61379,0.48298,0.38895,0.22438,0.53351,0.57694,0.018335,0.32368,0.86676,0.61713,0.37027,0.66849,0.57147,0.95068,0.89082,0.25533,0.70423,0.43212,0.88191,0.12115,0.22249,2
0.54147,0.27703,0.42956,0.2808,0.38698,0.26361,0.24353,0.12758,0.38666,0.35767,0.059057,0.28274,0.68665,0.27062,0.44072,0.4114,0.23564,0.78885,0.75265,0.24803,0.67259,0.62093,0.71569,0.02856,0.082878,2
