%
@relation Meier500_Standardized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute feature26 REAL
@attribute feature27 REAL
@attribute class {1,2,3,4,5}

@data
0.018118,0.0040293,0.013561,0.00095755,0.014992,0.0010869,0.065932,0.063449,0.023,0.02649,0.036147,0.061664,0.018595,0.575,0.22816,0.347,0.19224,0.65541,0.21641,0.8006,0.91047,0.58729,0.8566,0.96375,0.2982,0.00036798,0.015189,1
0.040035,0.0058608,0.032266,0.0011969,0.03532,0.0014491,0.00097717,0.00030741,0.0036735,0.00016591,0.0013776,0.00011144,0.0078819,0.71003,0.26304,0.48581,0.089305,0.7224,0.29006,0.85126,0.93991,0.61321,0.87513,0.83206,0.62075,0.014628,0.020449,5
0.19652,0.33663,0.11328,0.077162,0.13467,0.086315,0.050242,0.13981,0.033301,0.029975,0.034171,0.067199,0.076543,0.11091,0.97568,0.6101,0.5907,0.3427,0.58097,0.86093,0.71216,0.14638,0.48648,0.40164,0.92792,0.028377,0.1976,3
0.093074,0.19597,0.11036,0.076684,0.10647,0.07762,0.059866,0.056317,0.024916,0.023946,0.03471,0.055535,0.70817,0.10815,0.55126,0.0090952,0.86079,0.034417,0.054447,0.23427,0.18677,0.24407,0.31032,0.85568,0.35955,0.0036554,0.050109,2
0.026739,0.0040293,0.021978,0.00087775,0.023758,0.00090572,0.001604,0.00036889,0.0067881,0.00022121,0.0025156,0.00014859,0.031007,0.49766,0.25341,0.3345,0.24386,0.82451,0.1983,0.77266,0.86183,0.53222,0.8204,0.90905,0.45502,0.0031111,0.028628,5
0.015634,0.0032967,0.012976,0.00079796,0.013975,0.00081514,0.00082968,0.00030741,0.0031944,5.5304e-05,0.001138,3.7147e-05,0.033461,0.44404,0.34139,0.30669,0.2798,0.60102,0.21815,0.76675,0.83052,0.48614,0.79839,0.77919,0.66371,0.0058907,0.013581,5
0.12522,0.051282,0.070961,0.021146,0.086647,0.022915,0.13833,0.18899,0.048315,0.047285,0.093498,0.1474,0.042214,0.15376,0.82815,0.35969,0.46894,0.50272,0.33095,0.86336,0.78713,0.16042,0.52628,0.64605,0.79402,0.0057143,0.029815,3
0.050409,0.20733,0.14975,0.17802,0.11727,0.16846,0.032081,0.026929,0.024597,0.019965,0.025935,0.030572,0.92202,0.0839,0.75042,0.00061004,0.94512,0.016268,0.041677,0.090663,0.060693,0.20335,0.13852,0.7944,0.32265,0.040669,0.0023985,3
0.019287,0.0043956,0.015665,0.00079796,0.016897,0.00090572,0.00088499,0.00024593,0.0031145,5.5304e-05,0.0011081,3.7147e-05,0.029087,0.54737,0.22508,0.35479,0.13277,0.92119,0.20437,0.74242,0.815,0.45999,0.79529,0.74856,0.70137,0.0076789,0.014138,5
0.18673,0.15897,0.17746,0.079955,0.18003,0.078525,0.084756,0.0838,0.040808,0.032076,0.055015,0.080461,0.099022,0.22588,0.56299,0.25966,0.51846,0.22144,0.19409,0.70956,0.66404,0.33603,0.62265,0.79345,0.59613,0.016623,0.055401,2
0.2294,0.12821,0.19032,0.073651,0.20213,0.071099,0.068421,0.068306,0.032343,0.031744,0.044982,0.066939,0.12691,0.16609,0.55157,0.20981,0.56037,0.39047,0.13485,0.6845,0.61495,0.24167,0.56938,0.79528,0.58379,0.028352,0.02906,2
0.030976,0.007326,0.01812,0.0024737,0.020709,0.0029889,0.10841,0.24291,0.024437,0.022785,0.043455,0.11074,0.028194,0.38029,0.37815,0.26639,0.27285,0.54976,0.20402,0.78191,0.83469,0.38123,0.74786,0.88965,0.49111,0.0099962,0.022681,4
0.044565,0.0080586,0.10673,0.22542,0.090459,0.21049,0.036395,0.024962,0.018527,0.019467,0.025486,0.034398,0.043182,0.33014,0.32105,0.2363,0.30994,0.58051,0.15442,0.73134,0.80522,0.34041,0.71575,0.9629,0.28644,0.002664,0.024072,1
0.040035,0.0058608,0.032967,0.0012767,0.035701,0.0014491,0.082267,0.067999,0.053027,0.039985,0.054715,0.074406,0.043525,0.59913,0.13602,0.32658,0.18365,0.67934,0.18172,0.7563,0.84303,0.59137,0.86675,0.95504,0.31979,0.0032753,0.0032763,1
0.06429,0.0080586,0.049684,0.0019151,0.054377,0.0021737,0.061083,0.083923,0.027951,0.023228,0.030188,0.055386,0.051747,0.32724,0.19252,0.18989,0.30291,0.99573,0.11289,0.66141,0.74888,0.32968,0.70739,0.94864,0.32343,0.00083327,0.012302,1
0.0282,0.011355,0.018003,0.00071816,0.02109,0.0019926,0.028025,0.019367,0.016052,0.014158,0.0174,0.024591,0.08426,0.1971,0.60602,0.22382,0.46274,0.48274,0.19476,0.73749,0.72493,0.23678,0.61234,0.83685,0.55048,0.013049,0.0060829,1
0.036236,0.0058608,0.025134,0.0016757,0.028078,0.0019926,0.06394,0.12739,0.021562,0.019965,0.030936,0.066716,0.018897,0.55111,0.19851,0.30636,0.16038,0.67568,0.19356,0.76483,0.87289,0.50132,0.82282,0.85052,0.57375,0.0056048,0.017395,4
0.29164,0.29121,0.35586,0.13222,0.33541,0.13758,0.053136,0.03941,0.032583,0.029809,0.037315,0.049666,0.086623,0.34128,0.50988,0.33604,0.44094,0.26451,0.25372,0.75274,0.69795,0.48976,0.72951,0.73802,0.67311,0.042965,0.092158,2
0.02557,0.01978,0.038462,0.022582,0.035574,0.022099,0.078801,0.068675,0.029468,0.034012,0.050133,0.07656,0.19958,0.14143,0.41976,0.15405,0.6053,0.18239,0.07776,0.54198,0.50367,0.21803,0.5152,0.94426,0.29643,0.0012165,0.017661,1
0.015634,0.0043956,0.013327,0.00079796,0.014356,0.00090572,0.00049781,0.00030741,0.0015972,0.00016591,0.00053907,0.00011144,0.0085011,0.79264,0.13068,0.4147,0.12327,0.70685,0.23739,0.7952,0.91928,0.76871,0.93049,0.82207,0.62821,0.0086064,0.013464,5
0.023232,0.0040293,0.019172,0.00071816,0.020836,0.00090572,0.00177,0.00043037,0.0073471,0.00022121,0.0027552,0.00014859,0.056469,0.46286,0.15192,0.24992,0.24401,0.54241,0.14541,0.70497,0.77066,0.47874,0.79295,0.94288,0.34866,0.0065476,0.019714,5
0.035213,0.0062271,0.025719,0.0019151,0.028586,0.0021737,0.090177,0.17442,0.03953,0.031191,0.050523,0.096991,0.02131,0.79087,0.14574,0.40341,0.11964,0.66546,0.24574,0.78943,0.90558,0.77426,0.93651,0.8175,0.63711,0.0043062,0.013489,4
0.02557,0.01978,0.038462,0.022582,0.035574,0.022099,0.078801,0.068675,0.029468,0.034012,0.050133,0.07656,0.19958,0.14143,0.41976,0.15405,0.6053,0.18239,0.07776,0.54198,0.50367,0.21803,0.5152,0.94426,0.29643,0.0012165,0.017661,1
