@relation Ribosome_biogenesis
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute class {1,2,3,4,5 }
@data
0.002871,0.000121,0.003026,0.000238,0.002750,0.000229,0.001778,0.000227,0.002164,0.000539,0.050499,1.435530,0.647652,1.881168,0.600539,9.598854,6.655701,2.335907,3.213960,0.618293,1.128117,-0.162345,0.663139,0.002391,0.002881,2
0.002859,0.000162,0.003077,0.000334,0.002861,0.000305,0.001762,0.000201,0.002196,0.000606,0.064011,1.096063,0.687037,1.779149,0.647448,10.574803,5.905822,2.246342,2.987136,0.503042,1.032026,-0.200351,0.698523,0.004214,0.001841,2
0.002820,0.000128,0.002993,0.000255,0.002625,0.000220,0.001729,0.000204,0.002099,0.000500,0.065329,1.084136,0.653061,1.474426,0.653693,9.840719,5.140975,2.213109,2.964534,0.509773,1.038103,-0.176107,0.664826,0.003737,0.000398,2
0.002989,0.000279,0.003175,0.000343,0.002621,0.000208,0.001831,0.000259,0.002147,0.000465,0.053583,1.116294,0.759056,2.417868,0.635808,9.913929,8.015588,2.425787,3.179098,0.487389,1.025754,-0.238356,0.763519,0.000898,0.001690,2
0.002873,0.000141,0.003063,0.000302,0.002946,0.000277,0.001812,0.000260,0.002233,0.000624,0.047140,1.455585,0.681561,1.977223,0.592804,9.109059,7.476233,2.396549,3.257887,0.607631,1.128689,-0.178886,0.694743,0.004233,0.002764,2
0.003300,0.000130,0.003404,0.000158,0.002696,0.000199,0.001879,0.000252,0.002361,0.000468,0.061746,1.351119,0.561843,1.458031,0.613419,9.160069,4.775296,2.188710,3.052517,0.596623,1.111062,-0.122778,0.577134,0.002018,0.002946,5
0.002847,0.000164,0.002996,0.000237,0.002452,0.000175,0.001756,0.000222,0.002052,0.000408,0.061205,1.275126,0.654367,2.010671,0.625131,9.587310,5.834741,2.266971,3.065423,0.574273,1.096223,-0.170504,0.669396,0.001133,0.002946,2
0.002890,0.000225,0.002991,0.000225,0.002405,0.000238,0.001739,0.000191,0.002048,0.000406,0.055573,1.192174,0.718453,2.153793,0.635711,9.526994,6.787161,2.345418,3.116702,0.542789,1.068731,-0.205568,0.720933,0.001572,0.003845,1
0.003449,0.000204,0.003395,0.000183,0.002839,0.000248,0.001850,0.000245,0.002446,0.000556,0.073299,1.297802,0.637963,1.718417,0.621358,6.890093,5.850914,2.178081,3.002915,0.580845,1.095010,-0.149697,0.622926,0.000890,0.002656,1
0.002927,0.000153,0.003138,0.000319,0.002764,0.000250,0.001765,0.000209,0.002172,0.000553,0.050221,1.202231,0.764146,2.390450,0.640528,8.677824,8.907360,2.473054,3.253799,0.563570,1.081320,-0.238461,0.769475,0.001099,0.005671,2
0.002987,0.000218,0.003242,0.000374,0.002684,0.000227,0.001793,0.000219,0.002178,0.000507,0.058653,1.036825,0.730799,1.987566,0.651313,8.815873,6.644192,2.332530,3.056093,0.468836,1.003032,-0.225307,0.737464,0.003234,0.002891,2
0.002992,0.000256,0.003272,0.000445,0.002859,0.000354,0.001814,0.000226,0.002243,0.000604,0.046567,1.278213,0.755070,2.160673,0.603527,9.259404,8.695248,2.462383,3.242665,0.514644,1.057894,-0.229277,0.761783,0.000887,0.003178,2
0.002821,0.000167,0.003069,0.000362,0.002845,0.000294,0.001753,0.000202,0.002231,0.000609,0.064635,0.812921,0.808874,1.947904,0.694663,8.812921,7.558822,2.392602,2.977499,0.397693,0.925210,-0.297100,0.810349,0.004463,0.000844,2
0.002737,0.000155,0.002978,0.000370,0.002942,0.000336,0.001809,0.000236,0.002248,0.000634,0.043068,1.307937,0.762250,2.827352,0.616284,8.680952,9.666463,2.493388,3.321359,0.573243,1.097887,-0.236898,0.770220,0.002587,0.000766,2
0.002658,0.000154,0.002899,0.000359,0.002829,0.000316,0.001761,0.000209,0.002194,0.000598,0.047689,1.104403,0.777168,2.452213,0.637003,9.764915,8.804820,2.474742,3.226946,0.481784,1.022597,-0.254233,0.781226,0.003900,0.002398,2
0.002781,0.000143,0.002940,0.000255,0.002718,0.000231,0.001811,0.000237,0.002167,0.000513,0.052276,1.241812,0.696116,2.082528,0.633212,9.000697,6.921951,2.353483,3.177236,0.572494,1.091308,-0.193139,0.703511,0.005095,0.001547,2
0.003063,0.000144,0.003129,0.000160,0.002649,0.000229,0.001799,0.000215,0.002210,0.000489,0.053850,1.345533,0.651728,1.877536,0.617448,9.088941,6.358874,2.327422,3.186581,0.603399,1.116457,-0.166120,0.664041,0.002278,0.001095,1
0.002670,0.000174,0.002802,0.000225,0.003179,0.000560,0.001854,0.000228,0.002410,0.000788,0.058314,1.628149,0.460725,1.436631,0.584617,9.202433,4.401245,2.140484,3.091066,0.701471,1.184543,-0.084548,0.491813,0.004036,0.002863,2
