@relation Semliki_virus
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute 'feature49' real
@attribute 'feature50' real
@attribute 'feature51' real
@attribute 'feature52' real
@attribute 'feature53' real
@attribute 'feature54' real
@attribute 'feature55' real
@attribute 'feature56' real
@attribute 'feature57' real
@attribute 'feature58' real
@attribute 'feature59' real
@attribute 'feature60' real
@attribute 'feature61' real
@attribute 'feature62' real
@attribute 'feature63' real
@attribute 'feature64' real
@attribute 'feature65' real
@attribute 'feature66' real
@attribute 'feature67' real
@attribute 'feature68' real
@attribute 'feature69' real
@attribute 'feature70' real
@attribute 'feature71' real
@attribute 'feature72' real
@attribute 'feature73' real
@attribute 'feature74' real
@attribute 'feature75' real
@attribute 'feature76' real
@attribute 'feature77' real
@attribute 'feature78' real
@attribute 'feature79' real
@attribute 'feature80' real
@attribute 'feature81' real
@attribute 'feature82' real
@attribute 'feature83' real
@attribute 'feature84' real
@attribute 'feature85' real
@attribute 'feature86' real
@attribute 'feature87' real
@attribute 'feature88' real
@attribute 'feature89' real
@attribute 'feature90' real
@attribute 'feature91' real
@attribute 'feature92' real
@attribute 'feature93' real
@attribute class {1,2,3,4,5}
@data
0.004199,0.000101,0.004182,0.000099,0.011315,0.002405,0.005344,0.002965,842.000000,0.798121,0.983645,0.801905,1.000000,112.083261,0.827419,42.666965,25.706730,0.126256,0.063598,2.500000,0.018464,1.261936,0.518056,8.541885,2.593795,1.891301,3.059636,1.030954,1.354492,-0.010423,0.177844,0.003083,0.005096,0.047963,1.549738,0.748412,3.078774,0.603111,10.143979,10.769846,2.506535,3.297996,0.705456,1.180245,-0.250332,0.781709,0.121188,0.028576,0.063436,2.439446,0.022762,1.254574,0.513231,8.215398,2.553085,1.886071,3.053086,0.970653,1.343506,-0.003306,0.100382,0.000809,0.003210,0.063625,2.600281,0.005203,1.297333,0.511263,8.541374,2.626970,1.897686,3.072226,1.070046,1.372441,-0.018403,0.235728,0.005406,0.008154,0.063786,2.477689,0.010753,1.261311,0.515434,8.222892,2.531533,1.882112,3.057186,1.007221,1.352545,-0.002728,0.091300,0.004397,0.003091,1
0.004906,0.000826,0.004338,0.000456,0.011533,0.002667,0.005451,0.003058,796.000000,0.780091,0.953293,0.651925,1.000000,109.639610,0.817150,40.786378,25.518632,52.968807,0.200558,1.719708,0.469941,1.620958,0.711633,3.699270,4.765036,1.761460,2.328013,1.165390,1.161967,-0.161180,0.581836,0.077205,0.014506,0.040874,2.813139,0.556603,3.178411,0.540835,9.905109,9.875667,2.479965,3.466091,1.334341,1.418419,-0.170941,0.690999,0.092776,0.032274,0.692738,0.343823,0.595199,0.424610,0.922536,2.385781,1.354903,0.715935,0.855527,0.310340,0.495487,-0.269706,0.483975,0.018969,0.006436,0.156174,2.106209,0.394018,1.738423,0.639558,3.815359,4.823751,1.815946,2.502722,1.247861,1.283979,-0.085047,0.451813,0.085181,0.111323,0.668162,0.401067,0.544393,0.440000,0.910041,2.401067,1.359514,0.752056,0.916707,0.355740,0.552587,-0.197859,0.427230,0.024153,0.038194,1
0.004084,0.000098,0.004072,0.000103,0.013686,0.003429,0.006099,0.003911,721.000000,0.775779,0.975643,0.758947,1.000000,103.254834,0.833590,38.432207,24.250922,86.338223,0.039341,3.879736,0.007143,1.887252,0.441704,9.283361,3.932886,2.086468,3.448875,1.476470,1.537995,-0.024324,0.286490,0.005328,0.010959,0.034010,3.453048,0.472626,3.131348,0.483656,9.525535,9.626613,2.500498,3.588726,1.473626,1.493113,-0.152954,0.669571,0.116577,0.037404,0.074869,1.844782,0.136867,1.077521,0.557932,9.095048,2.429464,1.855642,2.876797,0.757215,1.230683,-0.010778,0.175431,0.002907,0.004519,0.040499,3.851224,0.023454,1.867627,0.466673,9.252354,4.007881,2.099867,3.437929,1.609691,1.553045,-0.030099,0.317565,0.004661,0.005088,0.074928,1.924749,0.100088,1.078656,0.553755,9.114827,2.351921,1.841289,2.880368,0.798359,1.249768,-0.008247,0.153762,0.001802,0.001098,1
0.004149,0.000097,0.004115,0.000097,0.012524,0.003776,0.005738,0.003624,893.000000,0.737494,0.965405,0.777875,1.000000,115.254834,0.830308,41.482349,28.015272,3.619057,0.043856,3.663782,0.009377,1.843051,0.444983,9.512979,3.733144,2.071028,3.401292,1.382152,1.509898,-0.017403,0.240859,0.003672,0.009742,0.036073,1.814586,0.808662,4.655014,0.583335,9.498146,17.132568,2.670025,3.510500,0.821989,1.245488,-0.275464,0.821463,0.045285,0.060853,0.063375,2.512314,0.049280,1.324466,0.517399,9.449894,2.772755,1.927685,3.101637,1.037972,1.363332,-0.003603,0.105562,0.002580,0.004743,0.042417,3.564409,0.042530,1.832087,0.450965,9.529880,3.879917,2.087498,3.406592,1.352098,1.503257,-0.019149,0.252974,0.001720,0.001786,0.063452,2.452214,0.070607,1.325342,0.519328,9.458790,2.824803,1.936308,3.098418,1.009793,1.352861,-0.004576,0.118877,0.000907,0.001371,1
0.004149,0.000098,0.004122,0.000099,0.011514,0.002790,0.005771,0.003131,1023.000000,0.853152,0.959662,0.659574,1.000000,129.882251,0.750454,50.340999,26.260990,-24.877439,0.066206,2.215601,0.081772,1.232596,0.535712,8.466956,2.608605,1.893550,3.002131,0.919013,1.315871,-0.012032,0.189547,0.002539,0.001502,0.039164,1.698808,0.786486,4.057571,0.585214,9.308776,14.191765,2.608162,3.461732,0.752246,1.192670,-0.276771,0.819764,0.072620,0.049768,0.062904,2.282874,0.081140,1.239370,0.524751,7.891142,2.685985,1.911355,3.044958,0.918852,1.318426,-0.004815,0.120822,0.000892,0.004248,0.065964,2.358974,0.029256,1.238164,0.530085,8.466200,2.495944,1.869925,2.999453,0.995142,1.337990,-0.017808,0.229786,0.003348,0.003625,0.062732,2.306661,0.073252,1.244438,0.523359,7.904549,2.671230,1.909140,3.047735,0.928755,1.323080,-0.004093,0.111456,0.000759,0.001150,1
0.004099,0.000094,0.004079,0.000094,0.014359,0.003471,0.006539,0.004252,708.000000,0.802033,0.946524,0.678161,1.000000,105.740115,0.780886,39.418622,23.543969,65.784118,0.039778,3.956667,0.029037,2.027733,0.440764,8.363333,4.191322,2.126355,3.479885,1.533456,1.546664,-0.024227,0.286203,0.003515,0.003438,0.040494,3.061667,0.474466,2.802708,0.496325,9.421667,8.580531,2.400730,3.466156,1.288331,1.441269,-0.147823,0.652790,0.149531,0.098190,0.075241,1.931634,0.070888,1.029589,0.551474,7.659970,2.226209,1.815129,2.856164,0.793430,1.249608,-0.006842,0.139586,0.001941,0.001997,0.038847,4.118868,-0.013355,2.015607,0.418559,8.360377,3.996543,2.103894,3.471940,1.492022,1.551117,-0.024513,0.287392,0.003876,0.004053,0.075422,1.982171,0.044925,1.033927,0.549926,7.675633,2.168480,1.799525,2.855627,0.822356,1.263408,-0.005940,0.129966,0.001987,0.001222,1
0.004092,0.000093,0.004078,0.000094,0.013093,0.002304,0.006895,0.003882,775.000000,0.785607,0.971178,0.735992,1.000000,106.911688,0.836324,40.076667,24.796474,15.496849,0.055648,2.716138,0.065330,1.439230,0.497111,7.972622,3.095792,1.979239,3.158446,1.075229,1.390069,-0.015976,0.223162,0.001139,0.001856,0.046438,1.671470,0.679030,2.543680,0.567601,10.504323,8.737013,2.425981,3.313833,0.677225,1.177767,-0.202361,0.725760,0.052451,0.101038,0.067482,2.382219,0.034418,1.242929,0.519254,8.233112,2.551889,1.886152,3.031803,0.964311,1.334904,-0.005275,0.126265,0.000414,0.000340,0.057666,2.746106,0.031144,1.385507,0.499616,7.989097,2.920442,1.945928,3.134219,1.102758,1.399498,-0.015987,0.222751,0.003178,0.001746,0.068160,2.370909,0.035733,1.235970,0.530583,8.242182,2.546439,1.882953,3.027981,1.001584,1.346716,-0.005601,0.129960,0.002184,0.002777,1
0.004072,0.000096,0.004052,0.000093,0.013027,0.002531,0.006366,0.003628,767.000000,0.815438,0.867647,0.645080,1.000000,120.325902,0.654784,43.405195,25.124839,-74.934969,0.055467,3.114907,-0.070554,1.467408,0.478276,8.378882,2.704275,1.906154,3.121766,1.222146,1.452120,-0.023047,0.265006,0.008174,0.004512,0.034784,3.254658,0.399585,2.789676,0.496627,8.996894,7.577630,2.403182,3.609493,1.404383,1.482510,-0.086080,0.528026,0.108193,0.043512,0.060602,2.404171,0.046660,1.266957,0.512178,8.547914,2.639474,1.901927,3.054958,0.946258,1.331456,-0.004115,0.111978,0.001951,0.001626,0.054475,2.991119,-0.024195,1.495288,0.489742,8.412078,2.849730,1.925884,3.132173,1.207020,1.440413,-0.021943,0.259923,0.004062,0.003102,0.061195,2.331361,0.073580,1.263747,0.526262,8.552663,2.701665,1.914831,3.048372,0.954557,1.332594,-0.006330,0.138578,0.003909,0.001923,1
0.004093,0.000093,0.004093,0.000095,0.014973,0.002582,0.012252,0.004463,724.000000,0.736805,0.946405,0.680451,1.000000,105.982756,0.794915,37.391187,25.280369,-3.657137,0.041293,4.035994,-0.025102,1.988044,0.429666,8.705790,3.838323,2.082044,3.462998,1.502965,1.552245,-0.016592,0.237516,0.004547,0.004842,0.053676,1.780908,0.622928,2.422315,0.595047,9.959311,7.650927,2.378382,3.264264,0.839491,1.244134,-0.180939,0.693337,0.072554,0.052588,0.041150,3.966901,-0.001789,1.984726,0.434568,8.675025,3.952566,2.098721,3.478021,1.490302,1.548667,-0.009793,0.183466,0.001057,0.003185,0.043173,4.085470,-0.032902,2.010683,0.456517,8.687179,3.825220,2.077114,3.441511,1.718606,1.574658,-0.029849,0.315419,0.003703,0.004470,0.043091,3.916309,-0.000292,1.975170,0.449244,8.688841,3.913910,2.096230,3.464588,1.568706,1.547810,-0.011357,0.197133,0.001258,0.000898,1
0.004083,0.000092,0.004075,0.000093,0.012575,0.002005,0.006733,0.003388,923.000000,0.776023,0.976720,0.693985,1.000000,116.225397,0.844050,43.250617,27.278357,39.601443,0.047059,3.273839,0.034890,1.702250,0.449099,9.022005,3.510518,2.041235,3.327986,1.171693,1.444293,-0.016593,0.232788,0.005223,0.003217,0.064126,2.332518,0.411700,1.915575,0.553596,9.951100,5.591741,2.212764,3.169397,1.073075,1.333178,-0.076961,0.474279,0.069970,0.115024,0.067173,2.276243,0.055503,1.209053,0.524950,9.800579,2.543762,1.883586,3.011796,0.917893,1.315048,-0.004860,0.120756,0.001601,0.001133,0.049715,3.319519,0.005196,1.688501,0.487745,9.017380,3.353976,2.015222,3.313890,1.412313,1.494013,-0.016788,0.233997,0.003038,0.001056,0.066955,2.373533,0.015102,1.206396,0.523867,9.812005,2.446241,1.864935,3.014880,0.973202,1.340482,-0.002857,0.092692,0.001731,0.001903,1
