@relation CecogClassifier-weka.filters.unsupervised.attribute.Remove-R144

@attribute ch_acd numeric
@attribute ch_area_ratio numeric
@attribute ch_cc numeric
@attribute ch_max_val_0 numeric
@attribute ch_max_val_1 numeric
@attribute ch_max_val_2 numeric
@attribute ch_mean_area numeric
@attribute ch_rugosity numeric
@attribute ch_thresh_cc numeric
@attribute ch_variance_area numeric
@attribute circularity numeric
@attribute dist_max numeric
@attribute dist_min numeric
@attribute dist_ratio numeric
@attribute dyn_distance_nb_max numeric
@attribute dyn_distance_radius_0 numeric
@attribute dyn_distance_radius_1 numeric
@attribute dyn_distance_radius_2 numeric
@attribute dyn_distance_radius_3 numeric
@attribute eccentricity numeric
@attribute ellip_axis_ratio numeric
@attribute ellip_major_axis numeric
@attribute ellip_minor_axis numeric
@attribute granu_close_area_1 numeric
@attribute granu_close_area_2 numeric
@attribute granu_close_area_3 numeric
@attribute granu_close_area_5 numeric
@attribute granu_close_area_7 numeric
@attribute granu_close_volume_1 numeric
@attribute granu_close_volume_2 numeric
@attribute granu_close_volume_3 numeric
@attribute granu_close_volume_5 numeric
@attribute granu_close_volume_7 numeric
@attribute granu_open_area_1 numeric
@attribute granu_open_area_2 numeric
@attribute granu_open_area_3 numeric
@attribute granu_open_area_5 numeric
@attribute granu_open_area_7 numeric
@attribute granu_open_volume_1 numeric
@attribute granu_open_volume_2 numeric
@attribute granu_open_volume_3 numeric
@attribute granu_open_volume_5 numeric
@attribute granu_open_volume_7 numeric
@attribute gyration_radius numeric
@attribute gyration_ratio numeric
@attribute h16_2ASM numeric
@attribute h16_2CON numeric
@attribute h16_2COR numeric
@attribute h16_2COV numeric
@attribute h16_2DAV numeric
@attribute h16_2ENT numeric
@attribute h16_2IDM numeric
@attribute h16_2PRO numeric
@attribute h16_2SAV numeric
@attribute h16_2SET numeric
@attribute h16_2SHA numeric
@attribute h16_2SVA numeric
@attribute h16_2VAR numeric
@attribute h16_2average numeric
@attribute h16_2variance numeric
@attribute h16_ASM numeric
@attribute h16_CON numeric
@attribute h16_COR numeric
@attribute h16_COV numeric
@attribute h16_DAV numeric
@attribute h16_ENT numeric
@attribute h16_IDM numeric
@attribute h16_PRO numeric
@attribute h16_SAV numeric
@attribute h16_SET numeric
@attribute h16_SHA numeric
@attribute h16_SVA numeric
@attribute h16_VAR numeric
@attribute h16_average numeric
@attribute h16_variance numeric
@attribute h1_2ASM numeric
@attribute h1_2CON numeric
@attribute h1_2COR numeric
@attribute h1_2COV numeric
@attribute h1_2DAV numeric
@attribute h1_2ENT numeric
@attribute h1_2IDM numeric
@attribute h1_2PRO numeric
@attribute h1_2SAV numeric
@attribute h1_2SET numeric
@attribute h1_2SHA numeric
@attribute h1_2SVA numeric
@attribute h1_2VAR numeric
@attribute h1_2average numeric
@attribute h1_2variance numeric
@attribute h1_ASM numeric
@attribute h1_CON numeric
@attribute h1_COR numeric
@attribute h1_COV numeric
@attribute h1_DAV numeric
@attribute h1_ENT numeric
@attribute h1_IDM numeric
@attribute h1_PRO numeric
@attribute h1_SAV numeric
@attribute h1_SET numeric
@attribute h1_SHA numeric
@attribute h1_SVA numeric
@attribute h1_VAR numeric
@attribute h1_average numeric
@attribute h1_variance numeric
@attribute h4_2ASM numeric
@attribute h4_2CON numeric
@attribute h4_2COR numeric
@attribute h4_2COV numeric
@attribute h4_2DAV numeric
@attribute h4_2ENT numeric
@attribute h4_2IDM numeric
@attribute h4_2PRO numeric
@attribute h4_2SAV numeric
@attribute h4_2SET numeric
@attribute h4_2SHA numeric
@attribute h4_2SVA numeric
@attribute h4_2VAR numeric
@attribute h4_2average numeric
@attribute h4_2variance numeric
@attribute h4_ASM numeric
@attribute h4_CON numeric
@attribute h4_COR numeric
@attribute h4_COV numeric
@attribute h4_DAV numeric
@attribute h4_ENT numeric
@attribute h4_IDM numeric
@attribute h4_PRO numeric
@attribute h4_SAV numeric
@attribute h4_SET numeric
@attribute h4_SHA numeric
@attribute h4_SVA numeric
@attribute h4_VAR numeric
@attribute h4_average numeric
@attribute h4_variance numeric
@attribute irregularity numeric
@attribute irregularity2 numeric
@attribute moment_I1 numeric
@attribute moment_I2 numeric
@attribute moment_I3 numeric
@attribute moment_I4 numeric
@attribute moment_I5 numeric
@attribute moment_I6 numeric
@attribute n2_avg numeric
@attribute n2_stddev numeric
@attribute n2_wavg numeric
@attribute n2_wdist numeric
@attribute n2_wiavg numeric
@attribute n_avg numeric
@attribute n_stddev numeric
@attribute n_wavg numeric
@attribute n_wdist numeric
@attribute n_wiavg numeric
@attribute perimeter numeric
@attribute princ_gyration_ratio numeric
@attribute princ_gyration_x numeric
@attribute princ_gyration_y numeric
@attribute roisize numeric
@attribute skewness_x numeric
@attribute skewness_y numeric
@attribute class {homogeneous,fine_speckled,coarse_speckled,centromere,nucleolar,cytoplasmatic}

@data
0.043946,0.987672,11,0.002704,0.001664,0.00104,4.454545,1,0,10.247934,1.310128,51.86521,29.12044,0.561464,2,36,0.944444,0,0,0.223015,0.598724,0.729377,0.436695,0,0,0,0,0,0.002749,0.002022,0.002965,0.003901,0.003727,0,0,0,0.000624,0.001664,0.003821,0.002933,0.004311,0.008407,0.010289,0.425057,0.008195,0.002861,85.80677,0.007799,2.646111,7.278433,6.174415,0.143709,41495.0872,40.997147,3.638123,1795.85249,94.920263,44.611725,16.859357,44.611725,0.044861,5.538129,0.109373,0.436217,1.809237,3.523782,0.420962,165.114701,15.389005,2.276711,28.221026,6.102743,2.961865,6.789884,2.961865,0.012523,1.528147,0.019419,2.64622,0.898513,4.749802,0.612206,81687.6692,38.132183,3.941167,-939.949704,189.087832,49.264378,18.616888,49.264378,0.120511,0.221455,0.292249,0.443253,0.221136,2.508202,0.889464,324.74112,14.666915,2.403511,-16.026555,12.1548,3.201569,7.222889,3.201569,0.005016,13.99297,0.017065,2.590953,2.956798,5.632713,0.278919,57006.6796,39.445062,3.866769,249.53033,157.771418,47.269689,18.244132,47.269689,0.071479,1.024549,0.248603,0.436132,0.723381,3.060833,0.668394,227.531324,15.00051,2.484672,2.283715,10.140095,3.113355,7.138564,3.113355,0.340333,0.020027,0.180673,0.00728,0.000007,0,0,0,59.784481,14.564354,47053.0218,869.489911,0.341407,154.454962,57.860955,114714.918,869.489911,0.961735,322,0.598724,0.364689,0.218348,4807,0.008853,0.026236,homogeneous
0.042178,0.990441,10,0.001693,0.001185,0.001185,4.4,1,0,7.04,1.248036,49.396356,37.363083,0.756394,1,44,0,0,0,0.039915,0.816676,0.624882,0.510326,0,0,0,0,0,0.018078,0.009341,0.011529,0.010652,0.006211,0,0.000169,0,0,0.000508,0.019939,0.011556,0.010609,0.014135,0.014365,0.403395,0.008166,0.015279,23.335519,0.028667,0.767682,3.576998,4.736794,0.27796,5371.94084,39.835017,3.104575,207.584802,32.750795,13.917316,18.129009,13.917316,0.619755,0.239884,0.687102,0.049515,0.214484,0.881939,0.895298,0.50076,7.806309,0.76183,-0.065513,0.290973,0.187954,3.795912,0.187954,0.02418,3.929141,0.054478,0.885029,1.429507,4.264026,0.505911,18527.8556,39.166803,3.369213,-233.388308,62.59189,16.699316,18.86867,16.699316,0.643364,0.097711,3.436483,0.049083,0.097711,0.837862,0.951144,2.306659,7.741003,0.824425,-0.595718,0.571815,0.187577,3.821646,0.187577,0.017545,10.982631,0.045731,0.828031,2.410148,4.602578,0.369553,10569.4839,39.656136,3.295891,61.349573,48.670735,15.420412,18.622994,15.420412,0.627065,0.169265,2.061722,0.047579,0.164251,0.892683,0.918376,1.202813,7.790162,0.822783,-0.281384,0.413709,0.181417,3.812956,0.181417,0.152273,0.003939,0.162727,0.001057,0.000018,0,0,0,31.648662,3.393922,29685.2037,961.742465,0.128691,159.568744,34.615803,145797.394,961.742465,0.658022,340,0.816676,0.312441,0.255163,5906,0.012303,0.043125,homogeneous
0.032824,0.991965,13,0.000929,0.000797,0.000531,3.307692,0.994898,0,2.52071,1.274251,58.051701,40,0.689041,1,50,0,0,0,0.079249,0.748771,0.653454,0.489287,0.000133,0.000133,0,0,0,0.017095,0.00933,0.007564,0.006537,0.004834,0.000266,0.000133,0,0.000266,0.000531,0.019419,0.010717,0.008754,0.009263,0.008304,0.408168,0.007031,0.003228,36.647117,0.025632,1.967001,4.77377,5.903472,0.18824,36095.3207,35.518281,3.716692,1516.88286,107.596894,30.237244,15.372256,30.237244,0.188891,0.537653,1.318739,0.103428,0.470764,1.943639,0.771307,5.454722,8.810822,1.567439,1.814288,1.297278,0.431299,4.170029,0.431299,0.009321,3.124739,0.027089,2.225829,1.312943,4.914004,0.509218,45655.3755,33.954147,3.851347,570.784158,144.317596,36.326945,16.320636,36.326945,0.316717,0.127438,1.863129,0.111938,0.127438,1.473482,0.936281,7.982099,8.650145,1.438777,0.385429,1.806915,0.477008,4.261354,0.477008,0.005726,9.222045,0.026657,2.154709,2.321591,5.384528,0.35077,40465.7189,34.604548,3.814981,950.925264,132.81811,34.780183,16.141479,34.780183,0.267943,0.238612,1.699417,0.1077,0.237548,1.654267,0.881332,6.35929,8.724918,1.53986,0.955485,1.602136,0.457043,4.243685,0.457043,0.197192,0.004692,0.166601,0.0022,0.000053,0.000001,0,0,35.70721,5.739653,42662.4313,1254.84265,0.12519,138.122029,50.425234,154482.838,1254.84265,0.530976,392,0.748771,0.326727,0.244644,7531,0.076197,0.00139,homogeneous
0.062639,0.979749,5,0.004989,0.002851,0.002851,3.8,0.970588,0,3.36,1.28031,25.298221,16.031219,0.63369,1,19,0,0,0,0.093947,0.728559,0.662229,0.482473,0.004277,0,0,0.000713,0,0.007193,0.002585,0.00229,0.005128,0.005409,0.005702,0.000713,0,0.002851,0.004989,0.010635,0.006631,0.007559,0.029293,0.033227,0.409673,0.016194,0.003758,78.754328,0.022813,1.837165,6.850783,5.942749,0.146356,29218.2876,27.560594,3.506486,1581.70151,64.844844,19.023671,10.354905,19.023671,0.079226,2.760099,0.520809,0.129214,1.23413,2.924051,0.526284,35.109766,12.356966,1.877223,9.993692,2.312806,0.71861,5.561418,0.71861,0.013236,2.910641,0.026593,2.820312,1.215795,4.881233,0.54374,73857.5923,27.730256,3.828942,1266.09969,147.182656,37.393442,13.258621,37.393442,0.179684,0.228217,0.708247,0.2184,0.225992,2.176343,0.887227,88.492837,12.396552,2.064486,7.807026,5.181086,1.329027,6.08528,1.329027,0.006183,23.658011,0.02821,2.510429,3.587225,5.672438,0.275971,62360.0901,28.633717,3.754391,2006.30378,122.163033,31.438984,12.523351,31.438984,0.116792,0.96377,0.738614,0.187359,0.667644,2.702843,0.695613,74.261166,12.572147,2.096024,12.508896,4.192439,1.115207,5.952251,1.115207,0.223813,0.009658,0.167832,0.002646,0.000016,0,0,0,50.732716,9.121965,11533.1105,235.965075,0.693234,111.835353,51.682967,23904.7356,235.965075,1.536478,170,0.728559,0.331114,0.241236,1403,0.035512,0.015487,homogeneous
0.05372,0.986891,12,0.002169,0.001355,0.001355,3.583333,1,0,3.076389,1.25402,37.363083,30.083218,0.805159,1,36,0,0,0,0.006382,0.923063,0.588093,0.542847,0,0,0,0,0.000813,0.012039,0.005359,0.004021,0.003066,0.003766,0,0.000542,0,0.000271,0.001084,0.013864,0.007397,0.006302,0.007629,0.007397,0.400167,0.01071,0.002438,71.830934,0.016166,2.676194,6.965325,6.225239,0.12082,59306.3619,35.456657,3.762774,2571.01202,117.301394,38.12416,14.245666,38.12416,0.059382,2.083955,0.536239,0.215717,1.14038,2.976692,0.522694,48.561191,11.255122,2.029029,12.247932,3.336405,1.090961,5.057371,1.090961,0.009832,2.659479,0.020217,3.044772,1.198239,4.97516,0.537128,70458.3994,33.095271,3.949585,687.304092,191.482271,48.560119,15.94869,48.560119,0.16561,0.178963,0.677959,0.259674,0.178963,2.072654,0.910519,56.039243,10.869297,2.000302,3.83138,5.37142,1.388002,5.345167,1.388002,0.004684,14.192316,0.018973,2.970344,2.818331,5.657812,0.30417,62709.9883,34.236319,3.912068,1412.54718,171.407475,46.661224,15.709031,46.661224,0.105268,0.522374,0.640759,0.250487,0.443601,2.491815,0.786077,50.356972,11.049959,2.134708,6.869525,4.848297,1.328379,5.303179,1.328379,0.106808,0.003251,0.160134,0.000164,0.000037,0,0,0,44.560043,9.464412,24004.5912,591.059908,0.309492,134.111683,58.84174,64762.6243,591.059908,1.063098,270,0.923063,0.294046,0.271423,3689,0.048813,0.046255,homogeneous
0.050898,0.98927,10,0.002295,0.001669,0.001043,4.3,1,0,8.21,1.267087,44.82187,34.058773,0.75987,1,40,0,0,0,0.043424,0.809384,0.627451,0.507848,0,0,0,0,0,0.016378,0.008108,0.007628,0.007707,0.007974,0.000209,0,0,0.000209,0.00146,0.018366,0.010451,0.009017,0.013229,0.016156,0.40361,0.009005,0.006361,29.435298,0.027185,0.963746,4.140188,5.36331,0.223119,10004.5345,39.917072,3.326236,526.730801,44.613415,17.239909,17.888442,17.239909,0.281993,0.51253,1.51957,0.053131,0.449651,1.634322,0.781463,2.693779,10.33103,1.289552,1.105824,0.729195,0.262506,4.94069,0.262506,0.012035,4.373397,0.046935,1.060222,1.574036,4.757816,0.455153,20073.4086,39.182974,3.553918,10.864596,76.519274,19.936921,18.804469,19.936921,0.385341,0.15967,2.543046,0.063388,0.15967,1.343916,0.920165,4.822412,10.252035,1.28731,0.329209,1.174946,0.319868,5.046183,0.319868,0.00834,13.943136,0.039214,1.000304,2.742071,5.150198,0.324348,12857.4087,39.813661,3.456295,332.32115,60.348377,18.541424,18.535795,18.541424,0.329112,0.311282,2.003493,0.059176,0.294517,1.513773,0.854418,3.362828,10.326121,1.328412,0.859135,0.930573,0.296816,5.015802,0.296816,0.161846,0.008147,0.162901,0.001152,0.000012,0,0,0,42.193993,4.330292,31915.3605,781.659574,0.205602,159.930747,38.054742,115651.317,781.659574,0.794236,311,0.809384,0.313725,0.253924,4794,0.006714,0.03663,homogeneous
0.028094,0.974804,10,0.011775,0.001436,0.001436,6.7,0.943662,1,132.01,1.357685,42.296572,24.33105,0.575249,1,31,0,0,0,0.223208,0.598566,0.730918,0.437503,0.003733,0,0.000862,0.000287,0.001436,0.005388,0.005421,0.012692,0.017818,0.0158,0.004021,0.000287,0.00201,0.000574,0.005457,0.006839,0.007463,0.02114,0.043255,0.033818,0.425926,0.01007,0.003001,73.324919,0.00928,2.270471,6.737436,6.101774,0.138524,30634.504,38.733481,3.572623,1561.83817,76.907446,36.323053,15.998022,36.323053,0.010781,18.911587,0.036453,0.794021,3.416473,4.853166,0.24979,2052.66868,26.854816,2.913929,205.532426,19.864915,9.305268,11.719172,9.305268,0.010228,2.970963,0.022495,2.365135,1.207237,5.011636,0.551356,69500.0287,37.25293,3.875931,-684.031416,161.280144,42.628735,18.023804,42.628735,0.033546,0.876262,0.086981,0.861025,0.609183,3.794536,0.721874,4615.93863,26.107746,3.214345,-86.482015,42.431754,10.977453,12.749282,10.977453,0.003996,28.60846,0.019245,2.261632,3.983908,5.932821,0.253864,46863.3716,38.317773,3.758262,448.69393,128.105464,38.825728,17.167131,38.825728,0.014223,7.440771,0.074678,0.810707,2.018322,4.670326,0.406963,3120.89118,26.645901,3.106034,61.268338,33.136225,9.982871,12.31379,9.982871,0.287421,0.017269,0.181413,0.007346,0.000023,0.000003,0,0,106.330844,27.532399,60717.6786,632.806433,0.782629,150.927341,54.428515,82508.38,632.806433,1.176384,284,0.598566,0.365459,0.218751,3482,0.049997,0.007289,homogeneous
0.144535,0.928463,3,0.040966,0.034183,0.000814,93.333333,0.973684,2,4184.22222,1.412508,52.554733,24.041631,0.457459,1,33,0,0,0,0.11897,0.697909,0.69401,0.484356,0,0,0,0.000543,0.002442,0.013768,0.008059,0.006572,0.007031,0.008555,0.000543,0,0.000814,0.001356,0.036354,0.017348,0.007894,0.010647,0.015182,0.041617,0.423158,0.008052,0.036207,53.929235,0.016304,1.658682,5.804084,3.802262,0.21431,18152.6031,35.300426,2.714329,1000.17797,59.269251,24.462519,14.748171,24.462519,0.673888,0.178552,0.358364,0.084609,0.178552,0.648217,0.910724,0.115118,3.800699,0.580466,-0.043526,0.180329,0.153233,1.811074,0.153233,0.102175,5.58654,0.031413,1.805844,1.428561,2.985706,0.624026,31863.8996,33.129863,2.616093,-9.417272,106.264661,28.623808,15.850651,28.623808,0.724181,0.05665,4.838896,0.071299,0.05665,0.573525,0.971675,0.826212,3.745146,0.590155,-0.470041,0.388108,0.131493,1.844248,0.131493,0.068218,14.907691,0.027529,1.758436,2.744056,3.345711,0.421146,25113.4417,34.024304,2.70353,401.709558,90.577894,27.502159,15.640124,27.502159,0.712929,0.106197,2.51582,0.073357,0.106197,0.617147,0.946902,0.46459,3.784663,0.599431,-0.263313,0.278107,0.134921,1.839233,0.134921,0.550767,0.036029,0.179063,0.003815,0.000699,0.000077,0,0.000003,14.778351,1.884588,9225.83722,660.685024,0.099688,133.882528,43.582932,76027.5705,660.685024,1.061486,304,0.697909,0.347005,0.242178,3686,0.217071,0.17683,homogeneous
0.042661,0.986102,16,0.002273,0.001819,0.001364,3.4375,1,0,5.871094,1.26746,46.173586,28.79236,0.623568,2,36,0.972222,0,0,0.136833,0.678196,0.685983,0.465231,0,0,0,0.000227,0.000455,0.002179,0.002091,0.001763,0.003003,0.004193,0,0.000227,0,0.000909,0.001819,0.003125,0.003108,0.004281,0.008994,0.011128,0.414431,0.008976,0.003412,80.880263,0.0087,2.694232,7.036553,6.108877,0.154428,41155.2644,38.543599,3.652382,1773.66975,94.058843,42.443647,15.753523,42.443647,0.041787,5.790503,0.110079,0.419295,1.838842,3.638008,0.418579,202.390159,16.732343,2.353596,32.245889,6.701953,3.122389,7.44675,3.122389,0.015051,1.847279,0.019092,2.826993,0.948609,4.736386,0.61031,81624.824,35.86499,3.900591,-855.582795,186.464492,49.354588,17.458336,49.354588,0.124957,0.254573,0.26174,0.448105,0.249231,2.580469,0.875919,412.020017,16.018814,2.445465,-17.834575,13.262291,3.533211,7.884792,3.533211,0.006219,17.370863,0.016055,2.755925,3.117866,5.624801,0.30019,55812.7705,37.290194,3.831546,415.976873,149.964501,47.088267,17.086195,47.088267,0.075055,1.367633,0.213438,0.43666,0.812954,3.165049,0.648342,276.702801,16.400484,2.517222,5.983896,10.594813,3.403223,7.793765,3.403223,0.24901,0.008171,0.171753,0.004036,0.000027,0.000001,0,0,65.106161,15.326665,43526.1137,755.811321,0.404239,144.995681,58.330021,87968.3217,755.811321,1.009338,298,0.678196,0.342992,0.232616,4399,0.052544,0.002403,homogeneous
0.044333,0.988389,11,0.00125,0.001,0.001,3.272727,1,0,0.92562,1.26657,39,32.572995,0.835205,1,38,0,0,0,0.009495,0.906872,0.592741,0.53754,0,0,0,0,0,0.015504,0.007917,0.006587,0.006517,0.005864,0,0.00025,0,0.00025,0.003249,0.017745,0.010099,0.009911,0.011587,0.014981,0.400091,0.010259,0.007469,41.376328,0.01097,1.305128,4.621586,5.370185,0.218228,11238.2008,41.949355,3.207083,283.843612,46.05434,24.358764,18.663885,24.358764,0.239045,0.758915,0.917628,0.067247,0.586874,1.802267,0.723767,3.620619,10.33934,1.324026,1.166448,0.809166,0.32791,4.876233,0.32791,0.013047,4.266654,0.034646,1.32431,1.556428,4.799578,0.455189,45031.8885,41.20221,3.50856,-987.793277,96.62237,26.251896,19.823082,26.251896,0.328088,0.19825,1.964791,0.083383,0.19825,1.505509,0.900875,9.47859,10.264419,1.421828,-0.518593,1.543163,0.419676,5.033084,0.419676,0.008911,17.130036,0.025112,1.276396,2.988029,5.202797,0.306381,23334.5274,42.054792,3.387128,-247.723113,70.52702,24.932378,19.533415,24.932378,0.258965,0.42178,1.578093,0.075979,0.393871,1.710166,0.805855,5.788596,10.359806,1.452557,0.537961,1.17145,0.3786,4.982967,0.3786,0.108646,0.004059,0.160073,0.000243,0.000007,0,0,0,42.494127,5.037512,26331.907,640.829543,0.240122,165.953262,42.822483,98702.4584,640.829543,0.944224,284,0.906872,0.29637,0.26877,4001,0.026839,0.012694,homogeneous
