% 1. Title: Iris Plants Database
% 
@RELATION 'HK2.arff'

@ATTRIBUTE 'feature1' real
@ATTRIBUTE 'feature2' real
@ATTRIBUTE 'feature3' real
@ATTRIBUTE 'feature4' real
@ATTRIBUTE 'feature5' real
@ATTRIBUTE 'feature6' real
@ATTRIBUTE 'feature7' real
@ATTRIBUTE 'feature8' real
@ATTRIBUTE 'feature9' real
@ATTRIBUTE 'feature10' real
@ATTRIBUTE 'feature11' real
@ATTRIBUTE 'feature12' real
@ATTRIBUTE 'feature13' real
@ATTRIBUTE 'feature14' real
@ATTRIBUTE 'feature15' real
@ATTRIBUTE 'feature16' real
@ATTRIBUTE 'feature17' real
@ATTRIBUTE 'feature18' real
@ATTRIBUTE 'feature19' real
@ATTRIBUTE 'feature20' real
@ATTRIBUTE 'feature21' real
@ATTRIBUTE 'feature22' real
@ATTRIBUTE 'feature23' real
@ATTRIBUTE 'feature24' real

@ATTRIBUTE 'feature25' real
%@ATTRIBUTE class {1 2 3 4 5 6 }

@ATTRIBUTE CLASS {WildType,HitMain1,HitMain2,Mitotic,NO_TET,Garbage}
@DATA
0.011237,0.002744,0.011661,0.002318,0.007033,0.001409,0.003599,0.000286,0.005118,0.001990,0.091248,0.652027,0.825413,1.975464,0.754392,9.972973,6.527423,2.295219,2.748359,0.383684,0.879310,-0.344621,0.834238,0.013175,0.011378,WildType
0.007846,0.001118,0.007853,0.000890,0.005432,0.000754,0.003426,0.000195,0.004342,0.001151,0.060100,1.155567,0.678537,1.939475,0.634395,9.340970,5.963654,2.287781,3.060030,0.512666,1.047266,-0.185571,0.688985,0.003148,0.006297,WildType
0.009161,0.001360,0.009827,0.001288,0.006089,0.000917,0.003640,0.000252,0.004914,0.001426,0.086790,0.597621,0.806721,1.584497,0.741031,10.636274,5.572361,2.244345,2.695431,0.315428,0.815119,-0.330389,0.811135,0.004748,0.007850,WildType
0.009038,0.001050,0.008889,0.000847,0.005224,0.000566,0.003507,0.000221,0.004358,0.000978,0.065211,1.319319,0.669077,2.098231,0.644285,7.495136,6.590491,2.315749,3.111280,0.663320,1.116194,-0.181966,0.684762,0.010324,0.008018,WildType
0.005228,0.000571,0.006493,0.001902,0.005245,0.000868,0.003365,0.000156,0.004350,0.001151,0.076683,0.948306,0.856792,3.381437,0.698770,6.131534,12.159034,2.451546,2.967780,0.512751,1.012141,-0.385313,0.870991,0.011337,0.011384,HitMain2
0.005531,0.000241,0.006205,0.000989,0.005497,0.000982,0.003458,0.000156,0.004478,0.001253,0.070780,0.943044,0.841379,2.992310,0.692063,6.380019,10.944288,2.443972,3.020663,0.493606,0.996196,-0.332719,0.837697,0.014223,0.003588,HitMain2
0.005288,0.000338,0.005859,0.000836,0.005872,0.001118,0.003403,0.000178,0.004698,0.001499,0.120490,0.606213,0.876299,2.461267,0.767063,6.521243,9.193359,2.264863,2.686236,0.366833,0.856474,-0.396264,0.858101,0.003521,0.005754,HitMain2
0.006324,0.000607,0.007587,0.001834,0.006767,0.001338,0.003568,0.000296,0.005087,0.001889,0.062037,0.991167,0.838780,3.130924,0.677792,6.587382,11.275803,2.480010,3.098510,0.498071,1.015372,-0.335111,0.845649,0.019864,0.004676,HitMain2
0.006675,0.000623,0.008089,0.001858,0.007286,0.001651,0.003719,0.000498,0.005751,0.002227,0.072866,0.804606,0.862240,2.936187,0.709909,6.163992,10.874014,2.431018,2.981445,0.423194,0.941688,-0.356144,0.851997,0.018618,0.011144,HitMain2
0.005626,0.000736,0.006036,0.001024,0.004950,0.000528,0.003439,0.000191,0.004176,0.000868,0.112341,0.603622,0.908800,3.335430,0.782696,6.109658,12.621778,2.342670,2.732908,0.389459,0.856499,-0.438141,0.886757,0.012135,0.001366,HitMain2
0.006324,0.000607,0.007587,0.001834,0.006767,0.001338,0.003568,0.000296,0.005087,0.001889,0.062037,0.991167,0.838780,3.130924,0.677792,6.587382,11.275803,2.480010,3.098510,0.498071,1.015372,-0.335111,0.845649,0.019864,0.004676,HitMain2
0.006189,0.000539,0.007796,0.002515,0.006796,0.001320,0.003578,0.000288,0.005104,0.001889,0.087511,1.015854,0.841659,3.246983,0.694756,5.867073,11.798184,2.392448,2.929834,0.556104,1.042589,-0.367343,0.856637,0.005812,0.019916,HitMain2
0.005476,0.000443,0.006293,0.001379,0.005551,0.001116,0.003425,0.000135,0.004480,0.001339,0.083007,0.655738,0.913434,3.824526,0.746516,6.597336,13.923927,2.494456,2.856648,0.372967,0.876057,-0.473503,0.912170,0.006506,0.002648,HitMain2
0.005575,0.000541,0.006175,0.001005,0.005307,0.000720,0.003435,0.000200,0.004249,0.001073,0.062070,0.789617,0.867811,3.060014,0.693716,8.333880,10.282513,2.527218,3.001282,0.377355,0.904078,-0.383851,0.879566,0.003831,0.006786,HitMain2
0.005626,0.000736,0.006036,0.001024,0.004950,0.000528,0.003439,0.000191,0.004176,0.000868,0.112341,0.603622,0.908800,3.335430,0.782696,6.109658,12.621778,2.342670,2.732908,0.389459,0.856499,-0.438141,0.886757,0.012135,0.001366,HitMain2
0.005626,0.000736,0.006036,0.001024,0.004950,0.000528,0.003439,0.000191,0.004176,0.000868,0.112341,0.603622,0.908800,3.335430,0.782696,6.109658,12.621778,2.342670,2.732908,0.389459,0.856499,-0.438141,0.886757,0.012135,0.001366,HitMain2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Garbage
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Garbage
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Garbage
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Garbage
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Garbage
0.007346,0.000987,0.009249,0.002847,0.008530,0.002825,0.003652,0.000323,0.005949,0.003163,0.044596,1.307244,0.829830,3.792985,0.608160,7.555371,14.042105,2.601804,3.337552,0.548706,1.085112,-0.304517,0.836186,0.016095,0.020937,Garbage
0.006044,0.000408,0.007400,0.002061,0.007232,0.001628,0.003613,0.000282,0.005244,0.002148,0.054298,1.090090,0.802888,2.681876,0.635559,6.634492,9.938476,2.457586,3.157320,0.467677,1.009210,-0.286368,0.809424,0.009924,0.009865,HitMain2
0.006068,0.000429,0.007119,0.001697,0.007447,0.001817,0.003589,0.000295,0.005245,0.002294,0.057409,0.933200,0.861944,3.459832,0.683300,6.914496,12.516403,2.527326,3.117046,0.466210,0.990152,-0.357548,0.863279,0.000800,0.016648,HitMain2
0.006044,0.000408,0.007400,0.002061,0.007232,0.001628,0.003613,0.000282,0.005244,0.002148,0.054298,1.090090,0.802888,2.681876,0.635559,6.634492,9.938476,2.457586,3.157320,0.467677,1.009210,-0.286368,0.809424,0.009924,0.009865,HitMain2
0.006667,0.000767,0.008336,0.002407,0.006458,0.001545,0.003522,0.000201,0.004989,0.001856,0.071050,0.547416,0.921322,3.539620,0.758204,7.298043,13.288993,2.534969,2.933982,0.303153,0.793117,-0.451326,0.907872,0.015491,0.002828,HitMain2
0.005373,0.000426,0.006024,0.001029,0.005553,0.000809,0.003495,0.000209,0.004510,0.001203,0.071961,0.917133,0.858099,3.334948,0.704250,6.802237,11.742791,2.496914,3.038526,0.500265,0.998486,-0.362282,0.863961,0.006912,0.006773,HitMain2
0.005237,0.000373,0.005352,0.000339,0.006927,0.001857,0.003654,0.000284,0.005284,0.002134,0.058354,1.047130,0.774518,2.093611,0.651178,8.229003,7.752391,2.394514,3.094349,0.475758,1.011167,-0.255407,0.774149,0.003351,0.002048,WildType
0.006490,0.000716,0.007714,0.001884,0.006510,0.001177,0.003771,0.000287,0.005065,0.001629,0.055221,0.666271,0.904047,3.523070,0.721734,7.977435,13.183576,2.604733,3.100799,0.335851,0.847100,-0.420424,0.899760,0.007728,0.011340,HitMain2
0.006698,0.000730,0.007698,0.001419,0.007731,0.001776,0.003745,0.000299,0.005875,0.002410,0.104450,0.495153,0.910250,2.742944,0.802675,7.495541,10.529934,2.376646,2.728987,0.325903,0.790407,-0.475688,0.904564,0.013717,0.010010,WildType
0.006511,0.001084,0.007714,0.001754,0.007931,0.001843,0.003781,0.000284,0.006137,0.002514,0.067358,0.725220,0.882699,3.147856,0.720776,7.415873,11.602358,2.526636,3.020781,0.381539,0.896791,-0.394645,0.881146,0.009791,0.000882,HitMain2
0.005086,0.000251,0.005120,0.000224,0.006681,0.001906,0.003474,0.000184,0.004963,0.002083,0.065469,1.052820,0.730365,1.947683,0.656830,7.873333,6.640879,2.304855,3.024316,0.494543,1.022310,-0.220921,0.728196,0.001082,0.004472,NO_TET
0.005580,0.000652,0.007455,0.002680,0.007220,0.001913,0.003535,0.000231,0.005330,0.002302,0.080823,0.583879,0.900301,2.969114,0.767471,6.907120,11.103075,2.480190,2.878433,0.348789,0.839808,-0.449520,0.902228,0.011216,0.013029,HitMain2
0.005795,0.000437,0.006848,0.001320,0.006466,0.001263,0.003548,0.000220,0.005093,0.001747,0.056406,0.616499,0.925733,4.237802,0.735579,9.407431,15.796847,2.632401,3.081164,0.321160,0.824503,-0.454429,0.914868,0.009680,0.001272,HitMain1
0.004790,0.000093,0.004787,0.000087,0.005673,0.000837,0.003648,0.000241,0.004687,0.001209,0.066472,2.204366,0.092697,1.183893,0.526730,9.007896,2.650658,1.904670,3.009475,0.879675,1.293188,-0.010542,0.177826,0.000902,0.001677,NO_TET
