@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute 'feature49' real
@attribute 'feature50' real
@attribute 'feature51' real
@attribute 'feature52' real
@attribute 'feature53' real
@attribute 'feature54' real
@attribute 'feature55' real
@attribute 'feature56' real
@attribute 'feature57' real
@attribute 'feature58' real
@attribute 'feature59' real
@attribute 'feature60' real
@attribute 'feature61' real
@attribute 'feature62' real
@attribute 'feature63' real
@attribute 'feature64' real
@attribute 'feature65' real
@attribute 'feature66' real
@attribute 'feature67' real
@attribute 'feature68' real
@attribute 'feature69' real
@attribute 'feature70' real
@attribute 'feature71' real
@attribute 'feature72' real
@attribute 'feature73' real
@attribute 'feature74' real
@attribute 'feature75' real
@attribute 'feature76' real
@attribute 'feature77' real
@attribute 'feature78' real
@attribute 'feature79' real
@attribute 'feature80' real
@attribute 'feature81' real
@attribute 'feature82' real
@attribute 'feature83' real
@attribute 'feature84' real
@attribute 'feature85' real
@attribute 'feature86' real
@attribute 'feature87' real
@attribute 'feature88' real
@attribute 'feature89' real
@attribute 'feature90' real
@attribute 'feature91' real
@attribute 'feature92' real
@attribute 'feature93' real
@attribute 'feature94' real
@attribute 'feature95' real
@attribute 'feature96' real
@attribute 'feature97' real
@attribute 'feature98' real
@attribute 'feature99' real
@attribute 'feature100' real
@attribute 'feature101' real
@attribute 'feature102' real
@attribute 'feature103' real
@attribute 'feature104' real
@attribute 'feature105' real
@attribute 'feature106' real
@attribute 'feature107' real
@attribute 'feature108' real
@attribute 'feature109' real
@attribute 'feature110' real
@attribute 'feature111' real
@attribute 'feature112' real
@attribute 'feature113' real
@attribute 'feature114' real
@attribute 'feature115' real
@attribute 'feature116' real
@attribute 'feature117' real
@attribute 'feature118' real
@attribute 'feature119' real
@attribute 'feature120' real
@attribute 'feature121' real
@attribute 'feature122' real
@attribute 'feature123' real
@attribute 'feature124' real
@attribute 'feature125' real
@attribute 'feature126' real
@attribute 'feature127' real
@attribute 'feature128' real
@attribute 'feature129' real
@attribute 'feature130' real
@attribute 'feature131' real
@attribute 'feature132' real
@attribute 'feature133' real
@attribute 'feature134' real
@attribute 'feature135' real
@attribute 'feature136' real
@attribute 'feature137' real
@attribute 'feature138' real
@attribute 'feature139' real
@attribute 'feature140' real
@attribute 'feature141' real
@attribute 'feature142' real
@attribute 'feature143' real
@attribute 'feature144' real
@attribute 'feature145' real
@attribute 'feature146' real
@attribute 'feature147' real
@attribute 'feature148' real
@attribute 'feature149' real
@attribute 'feature150' real
@attribute 'feature151' real
@attribute 'feature152' real
@attribute 'feature153' real
@attribute 'feature154' real
@attribute 'feature155' real
@attribute 'feature156' real
@attribute 'feature157' real
@attribute 'feature158' real
@attribute 'feature159' real
@attribute 'feature160' real
@attribute 'feature161' real
@attribute 'feature162' real
@attribute 'feature163' real
@attribute 'feature164' real
@attribute 'feature165' real
@attribute 'feature166' real
@attribute 'feature167' real
@attribute 'feature168' real
@attribute 'feature169' real
@attribute 'feature170' real
@attribute 'feature171' real
@attribute 'feature172' real
@attribute 'feature173' real
@attribute 'feature174' real
@attribute 'feature175' real
@attribute class {1,2,3,4,5,6 }
@data
362.000000,310.000000,12.000000,1.013229,0.519543,1.000000,0.786957,0.893574,23.278901,19.890528,-11.209557,71.350000,0.946405,1.000000,1.000000,10.055434,76.171675,0.152381,0.163527,0.181929,0.416850,0.122627,0.210419,0.203907,0.084982,0.084982,0.022857,0.072028,0.262149,1.000000,1.000000,78.573444,27.722926,7.000000,3.000000,6.954887,32.089217,5.000000,1.000000,0.040086,2.506623,0.556252,1.368166,1.045886,3.413096,4.850682,-0.190547,0.719953,0.523627,7.764901,2.441071,8.703006,2.585851,336.000000,323.000000,6.000000,2.805447,0.718522,0.000000,0.373333,0.136884,40.230021,27.980138,-20.607039,175.630000,0.511416,1.000000,19.048596,82.483762,33.462028,146.040050,0.087668,0.418559,0.991612,0.370030,0.160928,0.561416,0.160928,0.561416,0.101864,0.441090,0.099589,0.434643,0.094261,0.430281,0.076190,0.386081,0.073260,0.386081,0.016514,0.025617,0.016429,0.025375,0.110867,0.446642,314.714286,9.464286,0.849573,0.978022,0.051282,0.050550,0.077167,0.077167,0.056638,0.057531,0.058242,0.038339,0.038339,0.010485,0.010225,0.067582,1.000000,1.000000,1.000000,0.241733,0.476877,0.002562,0.004984,0.015734,0.013297,0.026039,0.035767,0.039912,0.067089,0.076007,0.990517,1.082639,0.860677,0.837382,0.881111,0.893535,0.874899,0.858400,0.894025,0.901676,0.912083,0.113712,0.113865,0.000000,0.045388,0.044900,0.031558,0.053450,0.048731,0.062165,0.073428,0.079228,0.098705,0.083200,0.630137,1.577982,0.873639,0.736260,0.829652,1.170332,0.329893,0.769632,2.701802,2.928219,4.535133,1.398940,-0.400036,-0.302886,0.864402,0.810722,0.734247,0.617701,5.876712,6.045872,2.304351,2.298935,9.108088,9.667621,2.472603,2.749032,5
732.000000,460.000000,347.000000,1.005552,0.261654,1.000000,0.737903,0.853708,31.170088,30.084178,26.635927,103.802000,0.951267,1.000000,1.000000,15.617583,302.210509,0.244444,0.706165,0.214408,0.816606,0.126972,0.412856,0.435165,0.067155,0.067155,0.037430,0.197202,0.576068,1.000000,54.000000,1.816323,34.059850,52.000000,5.000000,0.929183,68.239630,49.000000,54.000000,0.030723,2.242567,0.711418,1.294281,0.853931,3.629371,2.179602,-0.197941,0.741340,0.515447,9.140845,2.638609,13.297847,3.910884,1330.000000,482.000000,362.000000,2.318268,0.741841,0.000000,0.335181,0.092205,73.519549,49.300447,37.136496,425.750000,0.435851,20.000000,95.471797,234.638592,261.765819,705.781464,0.146764,0.488889,5.390987,1.567712,0.596093,0.838339,0.596581,0.916728,0.222027,0.545671,0.196816,0.530663,0.173626,0.517460,0.071062,0.413431,0.071062,0.413431,0.106183,0.075115,0.085280,0.064771,0.218193,0.562882,478.134586,354.852632,1.861807,4.043431,0.058300,0.212541,0.109048,0.128510,0.065909,0.075241,0.073547,0.038608,0.038608,0.018545,0.022848,0.090962,54.000000,54.000000,54.000000,0.124286,0.512341,0.003311,0.010232,0.015689,0.025518,0.036205,0.050017,0.056483,0.071933,0.093985,0.874605,1.187131,0.880685,0.850535,0.834678,0.848488,0.844778,0.842062,0.834695,0.846643,0.880278,0.202813,0.365266,0.045408,0.068383,0.069451,0.089669,0.060848,0.083943,0.115341,0.138211,0.145686,0.281117,0.279437,0.214405,0.449022,0.935667,0.841276,0.514580,0.739623,0.177299,0.327852,1.914150,2.023295,21.640924,0.777277,-0.580937,-0.369372,0.890186,0.774694,0.905863,0.835755,4.844221,4.714727,1.757038,1.707769,6.402869,5.120473,1.602128,1.284821,2
331.000000,17.000000,171.000000,1.046624,0.671330,1.000000,0.757437,0.910431,23.909240,17.720549,23.856218,67.592000,0.949785,1.000000,1.000000,9.590965,82.755069,0.158181,0.087399,0.169231,0.467888,0.119887,0.250015,0.239683,0.085226,0.085226,0.020147,0.106207,0.337912,722.000000,1.000000,48.200643,18.384298,2.000000,3.000000,1.777568,53.190276,5.000000,1.000000,0.027945,3.102190,0.652651,1.380154,1.055411,3.677526,10.182803,-0.204755,0.753597,0.451310,8.824818,2.641616,14.757632,4.503770,1587.000000,38.000000,175.000000,1.613951,0.848630,0.000000,0.448559,0.153068,71.323480,37.729189,38.794338,360.954000,0.635690,15.000000,38.463005,51.085715,232.371679,233.997321,0.080342,0.131868,5.226875,1.038970,0.361661,0.268620,0.452015,0.296948,0.104236,0.138444,0.146422,0.147446,0.114530,0.149695,0.035897,0.095238,0.035897,0.095238,0.068928,0.040510,0.084163,0.026345,0.204640,0.161905,26.826087,163.488343,2.896948,5.770582,0.078075,0.229455,0.155800,0.186195,0.088969,0.102584,0.101262,0.043158,0.043158,0.030467,0.035580,0.127000,1.000000,1.000000,1.000000,0.328697,0.325792,0.001573,0.002481,0.006373,0.010393,0.016452,0.020563,0.033583,0.070432,0.183661,1.227395,0.928243,0.499335,0.492205,0.505672,0.549813,0.580204,0.615727,0.683278,0.880117,1.219541,0.540359,0.429551,0.055338,0.031838,0.061637,0.119124,0.164614,0.168770,0.208793,0.345102,0.510612,0.131293,0.082925,0.363759,1.373202,0.934296,0.762029,0.687662,1.114229,0.260179,0.802440,2.498775,2.988726,84.275244,2.651416,-0.528116,-0.265343,0.913693,0.776386,0.843272,0.677778,5.357674,5.491294,2.224419,2.298238,10.677343,10.101552,2.783132,2.886576,3
398.000000,332.000000,194.000000,1.219266,0.850378,1.000000,0.670034,0.808282,31.145013,16.387631,-57.904947,78.662000,0.957882,1.000000,1.000000,9.841270,90.300125,0.147131,0.204688,0.172894,0.456899,0.104694,0.226885,0.229060,0.063004,0.063004,0.022355,0.093937,0.300488,722.000000,4.000000,12.081248,46.829634,9.000000,3.000000,0.787388,117.249360,14.000000,4.000000,0.032153,3.943218,0.412885,1.385451,0.998259,3.595136,2.554624,-0.166104,0.691940,0.361997,8.630915,2.498272,9.488382,3.322334,1360.000000,353.000000,168.000000,3.301652,0.951486,0.000000,0.265625,0.106104,102.060697,31.403391,-54.167609,401.336000,0.567613,21.000000,42.097925,49.623933,197.558491,186.797808,0.084249,0.119170,1.148814,0.764566,0.393895,0.205861,0.463736,0.209035,0.100713,0.118718,0.145264,0.137351,0.129915,0.138706,0.033211,0.095238,0.033211,0.094506,0.074734,0.025517,0.081323,0.024478,0.189988,0.152625,342.525000,181.505882,3.720182,8.003384,0.090938,0.431276,0.172801,0.192104,0.102102,0.116330,0.117228,0.043316,0.043316,0.034482,0.037147,0.145215,4.000000,4.000000,4.000000,0.156071,0.393421,0.005239,0.008169,0.020164,0.033185,0.040683,0.059671,0.075085,0.093703,0.114608,0.996511,0.821893,1.424886,1.388785,1.305881,1.327413,1.349500,1.288137,1.292604,1.202228,1.121343,0.563190,0.435099,0.010850,0.081793,0.109178,0.142051,0.181505,0.234556,0.280631,0.363816,0.455684,0.109106,0.062866,0.415721,1.641892,0.908106,0.644480,0.728910,1.196128,0.280960,0.885529,2.568455,3.118162,121.403451,3.740130,-0.468873,-0.172739,0.890627,0.668991,0.821313,0.635658,5.404376,5.666988,2.251807,2.282406,8.628214,7.588910,2.260480,2.368189,3
669.000000,292.000000,342.000000,1.003655,0.374854,1.000000,0.768966,0.917322,30.346118,28.133400,74.263606,95.732000,0.957082,1.000000,1.000000,12.250550,154.196830,0.174786,0.142818,0.168498,0.439805,0.107461,0.230489,0.235287,0.075946,0.075946,0.019815,0.080591,0.282723,722.000000,21.000000,35.289585,31.488864,25.000000,7.000000,7.511096,42.216996,24.000000,21.000000,0.045069,1.989637,0.630453,1.246027,0.767830,3.373266,2.371118,-0.188335,0.710757,0.534776,8.469775,2.456433,8.774130,2.647970,2072.000000,311.000000,326.000000,1.878323,0.857767,0.000000,0.460138,0.103310,88.431690,45.457324,-11.132130,502.030000,0.606557,19.000000,71.337975,74.794385,295.748725,302.423452,0.096215,0.123565,3.122182,1.596594,0.432723,0.350916,0.432723,0.350916,0.137718,0.144391,0.142736,0.145957,0.135775,0.143590,0.031990,0.088156,0.031990,0.088156,0.079070,0.038509,0.060807,0.031423,0.186813,0.163126,288.231660,330.615830,1.936097,4.042311,0.056960,0.262829,0.113605,0.139348,0.065096,0.075875,0.073395,0.034214,0.034214,0.019492,0.025722,0.094361,21.000000,21.000000,21.000000,0.286468,0.491332,0.001666,0.003945,0.007269,0.012519,0.017825,0.024757,0.033095,0.047262,0.073861,1.085123,1.057155,0.690501,0.681205,0.684653,0.720507,0.738678,0.789177,0.816342,0.816063,0.910948,0.266113,0.256569,0.034586,0.079436,0.077960,0.081015,0.171359,0.228522,0.269903,0.315523,0.253660,0.161644,0.114455,0.221701,0.560859,0.922475,0.789457,0.533133,0.826368,0.174835,0.346484,2.176794,2.508823,45.434175,3.184573,-0.586344,-0.336807,0.915263,0.802684,0.892280,0.778282,5.503912,5.513126,2.018594,2.092332,5.484205,4.743861,1.451637,1.388573,3
633.000000,440.000000,480.000000,1.038301,0.646606,1.000000,0.756272,0.894179,32.551538,24.831110,-60.538152,94.318000,0.955472,1.000000,1.000000,11.814164,154.112093,0.172466,0.085459,0.165568,0.422222,0.105484,0.243463,0.259341,0.074481,0.074481,0.021288,0.086935,0.314957,722.000000,37.000000,6.089721,65.790781,33.000000,3.000000,1.975309,95.525642,28.000000,37.000000,0.037174,3.203704,0.511810,1.453774,1.346036,3.579811,3.482874,-0.125322,0.616847,0.492326,9.633333,2.472584,9.921111,3.286759,2202.000000,418.000000,477.000000,2.266669,0.731384,0.000000,0.334346,0.075512,93.017544,63.434811,-24.060145,605.348000,0.457321,0.000000,25.614164,69.240294,90.950674,257.072776,0.037607,0.106716,0.236090,0.152161,0.099390,0.179487,0.099390,0.192430,0.041180,0.111319,0.041304,0.116745,0.040049,0.114530,0.029060,0.085958,0.029060,0.085958,0.008472,0.016230,0.006040,0.015009,0.043956,0.122589,439.748411,481.181653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.000000,37.000000,37.000000,0.182774,0.532586,0.002357,0.003660,0.009150,0.014051,0.020605,0.027255,0.037697,0.046555,0.123310,0.996210,0.995547,1.038202,1.007311,1.007458,1.031305,1.031162,1.034757,1.024801,1.005035,0.998268,0.083855,0.072699,0.024527,0.058825,0.064039,0.041101,0.039416,0.076239,0.101890,0.117815,0.142886,0.253431,0.244124,0.390940,0.569845,0.609354,0.383209,0.687004,0.799467,0.244957,0.339402,1.761481,1.800590,21.185461,1.112358,-0.215552,-0.095386,0.592612,0.413424,0.809847,0.768467,3.830625,3.797118,1.489378,1.431790,1.597112,1.242652,0.459824,0.382310,5
344.000000,478.000000,205.000000,1.041387,0.657418,1.000000,0.830918,0.889974,24.167754,18.211036,13.590419,69.694000,0.956885,1.000000,1.000000,9.353358,158.254949,0.195849,0.141502,0.186081,0.973382,0.119915,0.460043,0.463492,0.078877,0.078877,0.025749,0.270213,0.683517,764.000000,1.000000,26.395812,61.299541,2.000000,2.000000,0.610825,97.238178,3.000000,1.000000,0.029727,3.534483,0.657959,1.433932,1.115922,3.643920,3.338539,-0.224292,0.775930,0.415963,8.789655,2.668882,17.131617,5.143448,10025.000000,478.000000,160.000000,1.412462,0.818691,0.000000,0.405051,0.022786,164.371511,94.387790,63.605665,2351.350000,0.624766,33.000000,147.454217,216.036878,687.385125,1118.687445,0.036874,0.094261,22.916548,7.122898,0.962882,0.435653,0.962882,0.435653,0.077977,0.114245,0.068567,0.111590,0.039072,0.096947,0.029792,0.084982,0.029304,0.082784,0.142730,0.052521,0.096149,0.042230,0.042979,0.101099,462.338254,147.912818,5.067266,14.432916,0.065242,0.716579,0.273933,0.305717,0.110137,0.139976,0.137829,0.003167,0.003167,0.084950,0.090465,0.216554,1.000000,1.000000,1.000000,0.155291,0.478735,0.001713,0.005744,0.009545,0.017464,0.028310,0.044708,0.075900,0.091436,0.091154,0.984067,1.160097,0.572330,0.570154,0.569561,0.686569,0.813191,0.931812,1.052414,0.920327,0.759619,0.809922,0.826938,0.043916,0.017131,0.040831,0.368815,0.629817,0.684148,0.670887,0.720618,0.730346,0.788587,0.777875,0.046444,0.196729,0.955120,0.788476,0.165739,0.291814,0.044912,0.188054,0.584435,0.650308,25.780067,0.144550,-0.731205,-0.517092,0.706942,0.620472,0.981154,0.962440,2.383031,2.356429,0.553433,0.577289,2.011069,1.652150,0.503729,0.440847,6
388.000000,441.000000,296.000000,1.022570,0.578311,1.000000,0.769841,0.900286,24.671335,20.127277,64.248210,73.592000,0.947497,1.000000,1.000000,8.233944,79.507695,0.135043,0.030220,0.145788,0.373382,0.095744,0.204917,0.207326,0.066422,0.066422,0.017961,0.079797,0.268620,764.000000,3.000000,109.548452,27.068617,4.000000,3.000000,1.047912,50.343330,2.000000,3.000000,0.024956,4.322785,0.440771,1.505350,1.315414,3.786018,5.674569,-0.116633,0.612198,0.380603,9.221519,2.527802,11.134474,3.911262,1619.000000,427.000000,274.000000,1.381988,0.572207,0.000000,0.428307,0.079747,58.322441,47.830760,28.069242,505.094000,0.635525,17.000000,45.614409,68.665691,276.057639,275.174853,0.047619,0.103236,0.175203,1.771512,0.425641,0.352137,0.858608,0.352137,0.102274,0.153959,0.170511,0.169966,0.158120,0.176190,0.033211,0.086447,0.031746,0.086203,0.085077,0.071850,0.132876,0.060892,0.243223,0.222527,430.474367,278.214947,3.025555,6.830597,0.066042,0.815214,0.175221,0.216721,0.090135,0.105883,0.109265,0.013603,0.013603,0.049209,0.052903,0.144868,3.000000,3.000000,3.000000,0.120949,0.210911,0.005944,0.019503,0.031402,0.052265,0.076020,0.105044,0.119377,0.127539,0.131045,0.619675,0.605435,1.924543,1.973434,2.118351,2.063819,2.197785,2.125834,1.773139,1.243888,0.876704,0.475459,0.749176,0.090292,0.126553,0.273083,0.299132,0.254955,0.207167,0.202219,0.352441,0.552992,0.234783,0.156638,0.230191,0.879205,0.921862,0.719121,0.538512,0.977139,0.186788,0.581229,1.933382,2.408685,139.996350,1.727796,-0.596694,-0.296261,0.898673,0.754407,0.898019,0.759505,4.052596,4.172783,1.779435,1.930370,5.659119,5.375345,1.472912,1.569104,3
344.000000,478.000000,205.000000,1.041387,0.657418,1.000000,0.830918,0.889974,24.167754,18.211036,13.590419,69.694000,0.956885,1.000000,1.000000,9.353358,158.254949,0.195849,0.141502,0.186081,0.973382,0.119915,0.460043,0.463492,0.078877,0.078877,0.025749,0.270213,0.683517,764.000000,1.000000,26.395812,61.299541,2.000000,2.000000,0.610825,97.238178,3.000000,1.000000,0.029727,3.534483,0.657959,1.433932,1.115922,3.643920,3.338539,-0.224292,0.775930,0.415963,8.789655,2.668882,17.131617,5.143448,10025.000000,478.000000,160.000000,1.412462,0.818691,0.000000,0.405051,0.022786,164.371511,94.387790,63.605665,2351.350000,0.624766,33.000000,147.454217,216.036878,687.385125,1118.687445,0.036874,0.094261,22.916548,7.122898,0.962882,0.435653,0.962882,0.435653,0.077977,0.114245,0.068567,0.111590,0.039072,0.096947,0.029792,0.084982,0.029304,0.082784,0.142730,0.052521,0.096149,0.042230,0.042979,0.101099,462.338254,147.912818,5.067266,14.432916,0.065242,0.716579,0.273933,0.305717,0.110137,0.139976,0.137829,0.003167,0.003167,0.084950,0.090465,0.216554,1.000000,1.000000,1.000000,0.155291,0.478735,0.001713,0.005744,0.009545,0.017464,0.028310,0.044708,0.075900,0.091436,0.091154,0.984067,1.160097,0.572330,0.570154,0.569561,0.686569,0.813191,0.931812,1.052414,0.920327,0.759619,0.809922,0.826938,0.043916,0.017131,0.040831,0.368815,0.629817,0.684148,0.670887,0.720618,0.730346,0.788587,0.777875,0.046444,0.196729,0.955120,0.788476,0.165739,0.291814,0.044912,0.188054,0.584435,0.650308,25.780067,0.144550,-0.731205,-0.517092,0.706942,0.620472,0.981154,0.962440,2.383031,2.356429,0.553433,0.577289,2.011069,1.652150,0.503729,0.440847,6
602.000000,490.000000,468.000000,1.114321,0.771851,1.000000,0.729697,0.839919,34.901480,22.190500,-25.000190,94.904000,0.961661,1.000000,1.000000,9.252748,111.564106,0.132357,0.292487,0.122589,0.339927,0.082614,0.185322,0.190476,0.054945,0.054945,0.016602,0.068826,0.240781,764.000000,6.000000,11.060910,73.481450,5.000000,1.000000,2.142524,152.895893,4.000000,6.000000,0.037205,1.853890,0.723742,1.236145,0.792247,3.467150,4.194596,-0.232575,0.773844,0.565565,8.977230,2.577052,11.563049,3.395713,3053.000000,465.000000,489.000000,1.411177,0.632026,0.000000,0.465396,0.088611,82.690772,64.080981,-12.862118,657.998000,0.653747,62.000000,49.383640,69.081076,356.084013,441.814176,0.088645,0.121123,1.078581,0.507259,0.627106,0.229548,0.627106,0.271062,0.084998,0.118900,0.116634,0.144715,0.111111,0.145055,0.030037,0.085958,0.030037,0.085958,0.086379,0.036033,0.062063,0.031760,0.135470,0.166789,473.162463,481.181133,0.650530,1.553263,0.019696,0.347617,0.053200,0.079259,0.025651,0.032456,0.030419,0.005345,0.005345,0.013091,0.018056,0.044782,6.000000,6.000000,6.000000,0.182317,0.280326,0.003553,0.011062,0.019660,0.033655,0.045194,0.062628,0.088484,0.124082,0.149040,1.015718,0.818197,1.205290,1.125728,1.111499,1.167587,1.121779,1.092592,1.076260,1.137606,1.149034,0.300380,0.455272,0.077910,0.075292,0.100003,0.152684,0.118914,0.117669,0.128997,0.283703,0.366244,0.312823,0.271317,0.213962,0.495522,0.835889,0.586152,0.520437,0.759312,0.173682,0.366674,1.568095,1.742242,44.855783,1.697592,-0.461175,-0.225042,0.782900,0.604541,0.900977,0.833863,3.587784,3.591045,1.422556,1.446398,2.378420,1.861114,0.621533,0.517676,5
