@relation Malaria progression
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute 'feature49' real
@attribute 'feature50' real
@attribute 'feature51' real
@attribute class {1,2,3,4,5}
@data 
2636.22,0.318537,0.124338,0.141176,0.996078,50.8196,0.160314,0.00648987,0.141176,0.176471,68.6386,8276,0.88859,0.969995,0.605502,1,379.546,0.71815,152.972,70.1688,59.7123,0.205999,0.331217,0.88202,1.4037,0.861824,4.38862,5.28357,1.87157,2.10183,0.249708,0.652147,-0.497891,0.86704,1.03164,0.0443099,0.166198,0.644754,0.770234,1.40422,0.786283,4.47016,4.96749,1.93758,2.33875,0.430821,0.863762,-0.334376,0.78046,1.5515,0.32866,5
2474.65,0.353673,0.152395,0.145098,0.996078,53.6235,0.155882,0.00528302,0.145098,0.172549,68.2415,6997,0.935761,0.97397,0.635167,1,390.392,0.573982,162.773,57.3995,-79.5347,0.120885,0.407004,0.898352,2.00203,0.818983,5.17616,7.60113,2.17652,2.47259,0.270452,0.72083,-0.473581,0.885656,0.207172,0.149826,0.0866204,0.855988,0.784633,1.97205,0.711927,5.32633,7.09102,2.2254,2.77195,0.468363,0.968235,-0.304478,0.794295,0.533996,1.3512,5
3587.34,0.369981,0.176228,0.145098,0.921569,54.5686,0.155466,0.00545199,0.145098,0.172549,88.2279,9696,0.850349,0.98088,0.768548,1,399.463,0.759762,155.165,81.6508,-4.33637,0.145315,0.237586,0.96339,3.24484,0.885527,5.77978,12.7418,2.2313,2.4041,0.184508,0.55385,-0.640371,0.946641,0.211492,0.348079,0.119258,0.428063,0.933903,3.23785,0.819075,5.84718,12.5246,2.31729,2.62657,0.28902,0.739843,-0.519413,0.917414,0.245348,0.944586,5
3592.8,0.410372,0.196611,0.145098,0.941176,50.0863,0.154112,0.00472345,0.145098,0.168627,51.7145,8755,0.693557,0.926749,0.657776,1,380.09,0.757548,128.723,92.7323,63.1317,0.0910595,0.43041,0.943443,3.8051,0.828694,6.55815,14.79,2.45386,2.78764,0.302786,0.742389,-0.531398,0.931125,0.227981,0.0424496,0.0684878,0.941104,0.874859,3.76109,0.738311,6.69301,14.0996,2.49303,3.08376,0.590175,1.01045,-0.380888,0.875019,1.81036,2.87529,5
3183.96,0.368514,0.170048,0.145098,0.839216,57.7333,0.154367,0.00465933,0.145098,0.168627,39.3918,8640,0.898835,0.816712,0.478564,1,442.759,0.551351,176.131,77.1958,30.6666,0.0914447,0.391404,0.948143,3.77388,0.828637,6.38247,14.7041,2.46683,2.76379,0.268316,0.710828,-0.545038,0.934825,0.16595,0.211699,0.0668699,0.803853,0.89288,3.73928,0.729432,6.50503,14.203,2.52128,3.05042,0.461821,0.950708,-0.402718,0.886231,0.501152,0.733792,5
2166.73,0.32969,0.141487,0.145098,0.756863,51.7608,0.15451,0.00436814,0.145098,0.168627,45.0013,6572,0.872951,0.788861,0.523707,1,395.061,0.526482,149.194,72.7781,11.5222,0.104883,0.331472,0.951506,3.41764,0.851491,6.07051,13.3391,2.37828,2.62936,0.239809,0.654666,-0.569018,0.936188,0.302815,0.176735,0.0763816,0.641998,0.905472,3.40041,0.765855,6.20158,12.9409,2.45162,2.91714,0.395365,0.864111,-0.425117,0.8905,0.934293,2.23357,5
841.592,0.312976,0.1069,0.145098,0.639216,45.6706,0.240372,0.135464,0.145098,0.564706,38.2134,2689,0.737855,0.939225,0.663951,1,216.51,0.714239,72.5428,48.9634,4.60221,0.0957832,0.325158,0.946409,2.87678,0.839794,6.62816,11.2201,2.43963,2.64224,0.221987,0.638311,-0.573578,0.938859,0.233244,0.245633,0.0737496,0.568894,0.905983,2.7434,0.745256,6.71411,10.6134,2.47774,2.85078,0.299129,0.791343,-0.451479,0.901644,0.29604,0.402766,5
2061.27,0.342006,0.122999,0.145098,0.65098,47.3059,0.155611,0.00505796,0.145098,0.168627,48.082,6027,0.920382,0.927659,0.590882,1,351.22,0.610495,145.314,56.8207,16.6454,0.0784674,0.353154,0.951929,3.6705,0.830248,7.46277,14.3396,2.54405,2.80248,0.236341,0.667248,-0.566975,0.943998,0.196515,0.420562,0.058781,0.64402,0.910782,3.5825,0.735103,7.59023,13.7868,2.5826,3.04318,0.342803,0.850582,-0.443041,0.907284,0.648971,0.423463,5
3216.98,0.365151,0.130605,0.145098,0.764706,59.7176,0.155515,0.00504004,0.145098,0.168627,67.0088,8810,0.928117,0.925031,0.617985,1,436.191,0.57922,181.743,67.6609,-9.56814,0.104309,0.246644,0.955259,2.7566,0.878779,6.85689,10.7789,2.37049,2.54781,0.187526,0.563048,-0.624914,0.949371,0.0801098,0.300003,0.0801238,0.424033,0.921559,2.71171,0.805116,6.94587,10.3862,2.45928,2.77723,0.26763,0.724364,-0.500643,0.918452,0.645,1.46812,5
2177.95,0.307663,0.112832,0.145098,0.905882,50.2549,0.15463,0.00448449,0.145098,0.168627,42.1529,7079,0.933074,0.907797,0.481565,1,391.688,0.57688,165.058,59.3689,55.982,0.154608,0.354408,0.871825,1.38251,0.854131,4.65986,5.17564,1.98947,2.23611,0.263114,0.667355,-0.480959,0.870239,0.366538,0.177843,0.115019,0.706224,0.741115,1.36215,0.764682,4.77457,4.74962,2.04918,2.50404,0.448403,0.883522,-0.30432,0.770107,2.02021,1.31721,5
962.949,0.25116,0.125722,0.145098,0.843137,40.0549,0.157696,0.00816409,0.145098,0.184314,44.1398,3834,0.926353,0.91591,0.524631,1,299.563,0.533322,116.63,43.9296,-74.0066,0.358059,0.338876,0.921737,2.16499,0.867374,3.65883,8.3211,1.59281,1.81324,0.261857,0.651499,-0.509189,0.842745,0.0775098,0.160204,0.308758,0.770929,0.830268,2.2659,0.79619,3.75836,8.31143,1.68371,2.0446,0.551948,0.908831,-0.372142,0.781005,0.661454,0.447017,5
2898.3,0.358701,0.144212,0.145098,0.835294,59.4,0.155497,0.00468031,0.145098,0.172549,68.1895,8080,0.940733,0.860123,0.574598,1,440.818,0.520156,188.084,63.7881,9.26803,0.117366,0.259936,0.951855,2.69951,0.874326,6.14185,10.5381,2.30706,2.49301,0.196039,0.580192,-0.617653,0.944583,0.154679,0.477839,0.091549,0.4481,0.916238,2.67443,0.803212,6.22431,10.2513,2.39305,2.71599,0.285962,0.749697,-0.49749,0.91349,0.338595,3.15213,5
2085.43,0.33303,0.143617,0.145098,0.92549,52.4745,0.155711,0.00480253,0.145098,0.168627,65.8528,6262,0.928271,0.850007,0.627266,1,382.149,0.536027,155.395,57.7923,87.4203,0.117151,0.493721,0.883367,2.11656,0.794426,5.13298,7.97251,2.21078,2.57211,0.313173,0.785439,-0.421992,0.864483,0.470002,0.527935,0.0864173,1.03518,0.754774,2.09367,0.679073,5.28577,7.40519,2.21502,2.87363,0.535355,1.02787,-0.249077,0.747964,3.51017,5.09214,5
1779.95,0.281504,0.0793408,0.145098,0.615686,52.5922,0.156992,0.00576829,0.145098,0.176471,54.2828,6323,0.950916,0.925362,0.547446,1,385.12,0.532953,165.969,51.3589,-73.3671,0.105964,0.558588,0.834594,1.68523,0.768395,5.95651,6.19545,2.20292,2.60987,0.329045,0.818275,-0.388055,0.845966,0.200244,0.349188,0.079901,1.11477,0.669931,1.67885,0.668881,6.08761,5.63956,2.18796,2.88688,0.571065,1.0687,-0.221308,0.716332,0.665318,1.57411,5
1336.55,0.278913,0.150247,0.145098,0.996078,40.5647,0.15542,0.00383532,0.145098,0.164706,44.3549,4792,0.922258,0.967494,0.563102,1,307.806,0.631473,127.452,49.2698,26.6478,0.379357,0.228009,0.943911,2.03257,0.908315,3.61751,7.90228,1.53392,1.68107,0.1916,0.519436,-0.606836,0.876814,0.411996,0.336299,0.337546,0.474684,0.885748,2.07735,0.855616,3.67089,7.83472,1.62751,1.87495,0.372815,0.723966,-0.476426,0.830927,2.94902,2.34451,5
2534.95,0.282257,0.0951484,0.145098,0.972549,54.6039,0.156458,0.00467369,0.145098,0.168627,69.9008,8981,0.925361,0.987574,0.583712,1,414.032,0.655198,173.832,65.8978,26.7996,0.285566,0.226315,0.873118,0.891834,0.898032,3.77737,3.34102,1.54835,1.7051,0.18319,0.535072,-0.500251,0.824245,0.243836,0.106385,0.248729,0.393358,0.779944,0.893769,0.850599,3.8184,3.18172,1.61769,1.8653,0.294478,0.696269,-0.36089,0.748451,1.67716,1.39994,5
2265.26,0.316908,0.107776,0.145098,0.611765,52.4902,0.156221,0.00505212,0.145098,0.172549,62.5369,7148,0.926029,0.939908,0.653143,1,380.735,0.616411,158.792,59.9367,8.40693,0.0872161,0.293397,0.955816,3.31929,0.855205,7.08751,12.9873,2.49269,2.70126,0.209166,0.610763,-0.599175,0.949123,0.121726,0.329226,0.0648723,0.50412,0.923005,3.26023,0.771601,7.18246,12.5885,2.56271,2.93691,0.288188,0.767801,-0.476549,0.917101,1.3368,0.417176,5
2804.48,0.352543,0.135584,0.141176,0.996078,51.2941,0.154967,0.00534333,0.141176,0.180392,54.7188,7955,0.852867,0.904286,0.582187,1,386.09,0.667153,146.803,76.6502,-38.9754,0.153113,0.40819,0.872283,1.59802,0.841895,5.12429,5.98389,2.04937,2.34281,0.298272,0.719691,-0.464544,0.870464,0.292235,0.221389,0.120185,0.824476,0.738099,1.57566,0.759584,5.21555,5.47159,2.10429,2.58869,0.536124,0.947808,-0.298443,0.772559,0.215568,1.2766,5
3540.31,0.452263,0.182399,0.145098,0.996078,63.2549,0.159332,0.00781975,0.145098,0.188235,65.4913,7828,0.959187,0.905809,0.654078,1,441.321,0.502789,195.936,55.405,85.1433,0.0665321,0.85675,0.840859,2.69975,0.700601,7.18811,9.90998,2.45242,3.0344,0.445189,0.959138,-0.36009,0.858049,0.156415,0.211718,0.0499172,1.91542,0.632646,2.66914,0.568081,7.39838,8.50255,2.42903,3.31942,0.848173,1.25709,-0.196223,0.71744,2.36039,1.25447,5
3427.47,0.484243,0.193306,0.145098,0.996078,51.4039,0.160137,0.00839438,0.145098,0.184314,48.0639,7078,0.847076,0.852977,0.62882,1,377.747,0.620042,140.97,74.9218,85.9549,0.0608202,0.64994,0.892732,3.02704,0.735605,7.72364,11.4681,2.55706,3.03087,0.348559,0.855215,-0.428831,0.899356,0.596629,0.349171,0.0449828,1.38233,0.765108,2.95826,0.610981,7.90387,10.3868,2.53464,3.31751,0.613155,1.11397,-0.271351,0.804415,1.06536,1.59696,5
3968.44,0.43855,0.189664,0.145098,0.956863,60.8314,0.157594,0.00634091,0.145098,0.176471,74.9166,9049,0.923174,0.900308,0.71511,1,441.505,0.580731,181.053,69.5937,-83.9594,0.0569021,0.665886,0.899783,3.32223,0.730319,7.10918,12.623,2.55749,3.05734,0.351782,0.863024,-0.414139,0.893006,0.220364,0.0972717,0.0416418,1.46973,0.771827,3.21032,0.592954,7.30229,11.4125,2.5111,3.3705,0.617819,1.13613,-0.250537,0.787035,3.16003,0.811063,5
4511.85,0.44061,0.185722,0.145098,1,58.2,0.156873,0.00739301,0.145098,0.184314,52.7568,10240,0.924915,0.984615,0.515999,1,449.286,0.634647,185.699,70.598,-41.5068,0.0723705,0.56787,0.902487,2.91233,0.776462,6.74845,11.0792,2.47563,2.90175,0.349586,0.830637,-0.446943,0.900995,0.571795,0.482124,0.0522145,1.14017,0.800673,2.85401,0.67282,6.86589,10.2999,2.4715,3.20363,0.601134,1.07595,-0.286247,0.81071,0.309516,0.584083,4
3708.37,0.454012,0.206594,0.145098,0.988235,54.3569,0.156648,0.00547317,0.145098,0.172549,41.4042,8168,0.940487,0.984334,0.45167,1,424.458,0.567038,175.521,59.6472,45.923,0.0676721,0.467191,0.935397,3.61586,0.771974,7.16849,13.9962,2.53633,2.86999,0.25751,0.714653,-0.510148,0.927313,0.175327,0.250146,0.0517744,0.966462,0.862034,3.50457,0.631895,7.35369,13.0437,2.52156,3.13085,0.366479,0.905709,-0.380461,0.87767,1.02707,0.0740271,4
3345.86,0.365428,0.147275,0.145098,0.819608,60.8353,0.154013,0.00441094,0.145098,0.168627,65.6913,9156,0.947285,0.982931,0.574548,1,457.546,0.547204,191.306,61.2927,-18.8041,0.103537,0.279106,0.953128,2.97732,0.864084,6.4291,11.6302,2.38845,2.58961,0.204553,0.599894,-0.605159,0.945668,0.0774047,0.290665,0.0782206,0.50532,0.914072,2.94177,0.78578,6.51241,11.2561,2.46575,2.84168,0.310615,0.786982,-0.473314,0.910113,0.429259,1.11338,4
2130.95,0.295146,0.0813694,0.145098,0.513725,50.9176,0.155237,0.00442108,0.145098,0.168627,46.002,7220,0.944014,0.966403,0.44717,1,401.73,0.559396,168.167,55.4791,50.464,0.0677522,0.584166,0.898896,2.89564,0.762911,7.88293,10.9712,2.50164,2.94126,0.341601,0.835427,-0.442916,0.901385,0.383118,0.294232,0.0522294,1.2112,0.78291,2.8186,0.657165,8.06489,9.94345,2.48465,3.21913,0.614332,1.10123,-0.2865,0.812252,0.358103,0.344965,4
3489.1,0.380325,0.162066,0.145098,0.768627,57.5098,0.15377,0.00420229,0.145098,0.168627,57.2403,9174,0.938582,0.982543,0.529524,1,445.245,0.578925,184.425,63.6371,-26.8481,0.0778444,0.398017,0.951859,4.13387,0.813432,7.2673,16.1375,2.54492,2.84231,0.255675,0.704487,-0.550994,0.94067,0.260391,0.152034,0.0573693,0.784644,0.903784,4.06557,0.707009,7.38344,15.5242,2.57384,3.12691,0.401369,0.922583,-0.411887,0.895926,0.871962,0.441442,4
1933.02,0.219511,0.0369888,0.145098,0.32549,56.1216,0.153758,0.00347716,0.145098,0.164706,89.5232,8806,0.926745,0.979751,0.64329,1,419.262,0.626539,173.048,65.0126,-73.1071,0.0679985,0.577057,0.883664,2.50321,0.746897,7.88613,9.33816,2.4671,2.9076,0.308719,0.804337,-0.416172,0.885436,0.148781,0.0970239,0.0517771,1.142,0.762859,2.45709,0.635405,8.04947,8.47765,2.43867,3.17344,0.505206,1.04207,-0.261965,0.78578,0.375298,0.242685,4
3633.36,0.367935,0.149457,0.145098,0.807843,60.1686,0.153884,0.004172,0.145098,0.168627,58.0292,9875,0.943534,0.984841,0.510811,1,465.144,0.571092,195.402,64.7318,27.7361,0.100666,0.301958,0.95222,3.15986,0.858319,6.59282,12.3375,2.39938,2.62796,0.219897,0.627133,-0.594049,0.944178,0.113453,0.256624,0.0765858,0.573648,0.907807,3.10853,0.775908,6.69748,11.8708,2.46024,2.88339,0.353598,0.836132,-0.462935,0.907733,0.0748765,0.439754,4
2165.13,0.290934,0.114275,0.145098,0.760784,53.8471,0.154733,0.00391791,0.145098,0.168627,56.0795,7442,0.943125,0.982572,0.522026,1,409.304,0.555506,170.652,56.7315,65.0114,0.119854,0.487924,0.888153,2.18121,0.796406,5.03795,8.23691,2.20668,2.55402,0.310983,0.780663,-0.435367,0.870982,0.310532,0.122694,0.0841921,1.00166,0.770069,2.16954,0.676227,5.17808,7.7103,2.23946,2.84247,0.503476,1.0014,-0.275087,0.772229,1.00173,1.5115,4
2527.14,0.304292,0.110584,0.145098,0.780392,57.4627,0.154886,0.00395715,0.145098,0.168627,45.2241,8305,0.965187,0.97971,0.393938,1,458.399,0.494503,201.968,52.827,37.1057,0.131209,0.318274,0.916308,1.90146,0.851615,5.18501,7.28758,2.16319,2.39169,0.228061,0.643414,-0.527781,0.905539,0.297192,0.241268,0.0964343,0.606128,0.838608,1.87797,0.76296,5.29035,6.90514,2.22994,2.65955,0.360024,0.851062,-0.368418,0.836142,0.805933,0.539409,4
