@relation 'HTS data set-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P75.0-weka.filters.unsupervised.instance.RemovePercentage-P4.21'

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute class {1,2,3,4,5}

@data
0.001878,0.000036,0.001864,0.000038,0.001867,0.000038,0.005281,0.001056,0.001987,0.000507,0.002908,0.001688,0.045739,3.977352,0.025116,2.004674,0.450645,8.493031,4.180265,2.125667,3.425327,1.6109,1.55626,-0.022553,0.274442,0.000203,0.00259,1
0.002028,0.000041,0.002024,0.000041,0.002027,0.000042,0.001758,0.000029,0.001745,0.000031,0.001747,0.000031,0.035964,4.90511,0.065573,2.801748,0.382343,9.153285,5.589643,2.250975,3.530836,1.680857,1.58725,-0.104481,0.571301,0.004892,0.003441,5
0.003099,0.000944,0.002717,0.000993,0.002809,0.000979,0.00443,0.002298,0.002116,0.00057,0.002842,0.001837,0.098615,0.788712,0.892184,3.515428,0.715051,5.410999,11.156695,2.274894,2.714625,0.42103,0.937005,-0.372268,0.853992,0.009413,0.032098,3
0.002391,0.00056,0.002692,0.000987,0.002587,0.000883,0.004952,0.00094,0.002011,0.000461,0.00286,0.001523,0.674958,0.769772,0.399887,0.064313,0.894276,2.372584,1.080865,0.724826,0.831703,0.684659,0.642265,-0.089791,0.330908,0.001284,0.008239,2
0.001937,0.000036,0.001936,0.000037,0.001936,0.000036,0.001792,0.00003,0.001784,0.000032,0.001785,0.000032,0.057065,3.446009,0.054396,1.932862,0.484898,10.159624,3.833675,2.056548,3.251011,1.462276,1.495682,-0.056586,0.418771,0.001105,0.004764,5
0.001861,0.000034,0.001859,0.000036,0.001859,0.000035,0.00175,0.000029,0.001739,0.000029,0.001739,0.000029,0.059304,3.077586,0.156447,1.773187,0.508749,7.956897,4.213659,2.041922,3.138808,1.337916,1.458859,-0.137379,0.61083,0.002019,0.00233,5
0.002611,0.000165,0.002355,0.000291,0.002431,0.000279,0.009208,0.003098,0.002304,0.000883,0.004823,0.003996,0.067291,1.083168,0.721061,2.077545,0.634257,6.988119,6.372136,2.280894,2.983319,0.458912,1.003595,-0.220207,0.730766,0.001961,0.004956,3
0.002099,0.000591,0.003029,0.002257,0.002672,0.001886,0.003445,0.000462,0.002007,0.000389,0.002567,0.000851,0.870092,0.60315,0.630899,0.015589,0.950236,2.193701,0.836496,0.369596,0.379843,0.574756,0.354832,-0.127912,0.296942,0.013455,0.000521,3
0.001886,0.000037,0.001882,0.000036,0.001882,0.000036,0.001753,0.000028,0.001738,0.000029,0.001738,0.000029,0.055313,3.7875,0.021536,2.049375,0.411182,11.1125,3.949844,1.98175,3.083187,1.267344,1.45368,-0.156433,0.645493,0.002607,0.00242,5
0.003032,0.000459,0.003266,0.001028,0.003166,0.000893,0.006302,0.001387,0.00221,0.000608,0.003538,0.002194,0.119127,1.578674,0.413497,1.503112,0.667115,4.215865,3.753142,1.900468,2.542155,0.932835,1.164827,-0.128505,0.548634,0.005548,0.009095,2
