%
@relation WildDetailed500_Standardized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
0.46804,0.19935,0.43771,0.23411,0.38482,0.088398,0.85188,0.1709,0.46796,0.1457,0.083158,0.3029,0.8524,0.55527,0.73663,0.5322,0.49491,0.91164,0.89303,0.4252,0.69691,0.51994,0.89457,0.14352,0.094189,1
0.46403,0.28023,0.44347,0.25924,0.32504,0.052735,0.8237,0.12011,0.42958,0.094314,0.062228,0.46983,0.79325,0.59072,0.64959,0.52694,0.56884,0.93051,0.96918,0.56614,0.80307,0.65287,0.81978,0.31937,0.078199,3
0.47814,0.19173,0.49845,0.22376,0.35433,0.076655,0.82876,0.14207,0.44811,0.124,0.083192,0.29928,0.82493,0.46796,0.70647,0.6818,0.41883,0.90118,0.89304,0.36561,0.67523,0.58341,0.85424,0.079932,0.094064,4
0.53642,0.4047,0.55689,0.4126,0.40769,0.11232,0.86729,0.16472,0.49928,0.16945,0.11468,0.17257,0.91861,0.4254,0.79499,0.80771,0.45094,0.89893,0.81427,0.2464,0.54472,0.35863,0.95313,0.090967,0.077323,4
0.60124,0.30405,0.52913,0.42221,0.40789,0.099598,0.89571,0.26424,0.52047,0.16179,0.14386,0.23195,0.91825,0.56043,0.75791,0.39963,0.44862,0.82745,0.7496,0.31761,0.62273,0.40839,0.923,0.24979,0.055582,3
0.19167,0.012156,0.18799,0.014043,0.35894,0.071871,0.82803,0.14413,0.45404,0.12617,0.092505,0.68437,0.18357,0.26499,0.57122,0.59969,0.16251,0.7302,0.88517,0.72967,0.89716,0.97036,0.25999,0.03954,0.025493,9
0.25365,0.056402,0.23947,0.075018,0.33052,0.0934,0.81069,0.048044,0.43582,0.11658,0.09951,0.26907,0.90779,0.68181,0.73105,0.5148,0.62745,0.89662,0.86975,0.34937,0.65522,0.48535,0.90594,0.030224,0.018819,1
0.41561,0.33598,0.43407,0.32871,0.42554,0.15668,0.87837,0.17021,0.49918,0.19377,0.17449,0.15471,0.83529,0.24946,0.81615,0.56065,0.23233,0.76434,0.70153,0.23402,0.5243,0.47306,0.85999,0.072394,0.069305,2
0.82587,0.57391,0.69283,0.73725,0.44908,0.13254,0.87452,0.19423,0.54729,0.20792,0.1862,0.24087,0.93466,0.68761,0.78363,0.4125,0.56321,0.81416,0.74801,0.37301,0.64319,0.39314,0.9245,0.21864,0.12978,1
