@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute class {1, 2, 3, 4, 5}
@data
0.010218,0.000689,0.008498,0.000891,0.009293,0.001199,0.005935,0.000899,0.003530,0.000226,0.004675,0.001383,0.056938,0.951750,0.820910,2.546390,0.671078,8.369915,9.609615,2.458806,3.134984,0.452301,0.983509,-0.291745,0.813540,0.005536,0.010666,1
0.008531,0.000420,0.008731,0.000774,0.008624,0.000626,0.005556,0.000683,0.003596,0.000251,0.004642,0.001133,0.101912,0.734788,0.712364,1.316823,0.719219,6.228703,4.318236,2.076227,2.627445,0.386178,0.903463,-0.227932,0.702388,0.001553,0.006035,1
0.012062,0.000682,0.010277,0.001874,0.011144,0.001701,0.007327,0.001420,0.003605,0.000302,0.005496,0.002157,0.080515,0.718991,0.776109,1.680646,0.712824,10.175193,5.489980,2.245404,2.766513,0.360839,0.879302,-0.277920,0.776680,0.008736,0.007937,1
0.009246,0.000762,0.008534,0.001313,0.008931,0.001115,0.006082,0.000876,0.003508,0.000234,0.004966,0.001464,0.064032,0.653548,0.869476,2.384689,0.727845,8.511111,9.098069,2.477289,2.958201,0.337122,0.847011,-0.382706,0.869355,0.014293,0.002427,1
0.009986,0.001146,0.008720,0.002357,0.009293,0.002006,0.006086,0.001326,0.003462,0.000170,0.004723,0.001622,0.090692,0.628340,0.839184,1.538080,0.741364,10.328721,6.310358,2.296674,2.689167,0.341277,0.846103,-0.374867,0.850547,0.012998,0.007004,1
0.010793,0.001780,0.008760,0.000810,0.009856,0.001760,0.006707,0.001413,0.003679,0.000243,0.005312,0.001859,0.121507,0.499543,0.907276,2.664836,0.806884,6.491624,10.265769,2.309890,2.644143,0.335423,0.793645,-0.468952,0.897231,0.015127,0.004919,1
0.009583,0.001105,0.009203,0.002010,0.009369,0.001626,0.006364,0.001275,0.003583,0.000218,0.005036,0.001692,0.087421,0.705637,0.844945,2.106819,0.735699,7.315936,7.996914,2.338670,2.811091,0.394153,0.901080,-0.351849,0.838895,0.005065,0.012115,1
0.010292,0.001269,0.010130,0.001691,0.010252,0.001439,0.006803,0.001503,0.003813,0.000317,0.005730,0.001905,0.079128,0.496426,0.906962,2.616752,0.791593,9.861024,9.554606,2.474215,2.830764,0.311454,0.785711,-0.469939,0.910268,0.006979,0.009855,1
0.014091,0.002809,0.006421,0.001554,0.010171,0.004532,0.009737,0.003649,0.003545,0.000274,0.006649,0.004067,0.070200,0.693589,0.878133,2.863649,0.730142,11.004163,10.686078,2.487864,2.981300,0.373954,0.884816,-0.398035,0.879181,0.006634,0.020892,2
0.016291,0.004996,0.008334,0.001293,0.011826,0.005335,0.006764,0.001520,0.003496,0.000219,0.004946,0.001945,0.059897,0.774953,0.891026,3.600200,0.689895,6.884067,13.424253,2.528486,3.043318,0.357636,0.882953,-0.398653,0.884439,0.013837,0.025657,2
0.010028,0.002338,0.006052,0.000837,0.008035,0.002684,0.005688,0.001175,0.003480,0.000146,0.004588,0.001399,0.047550,0.837354,0.898446,4.121528,0.675666,8.558652,15.653382,2.635035,3.213411,0.374796,0.906511,-0.409037,0.899120,0.019229,0.008438,2
0.010640,0.001626,0.008375,0.000571,0.009636,0.001714,0.006696,0.001488,0.003568,0.000208,0.005313,0.001932,0.100191,0.541240,0.885404,2.396607,0.787692,6.436381,8.885339,2.342918,2.710577,0.344057,0.819920,-0.441798,0.887513,0.003856,0.018779,2
0.004891,0.000090,0.004795,0.000126,0.004837,0.000121,0.005747,0.001127,0.003456,0.000172,0.004556,0.001408,0.047668,2.862820,0.129112,1.664476,0.482122,7.560697,3.699773,2.067663,3.290790,1.094224,1.404262,-0.011142,0.190701,0.001869,0.002360,4
0.004979,0.000112,0.004850,0.000163,0.004907,0.000155,0.005728,0.001092,0.003459,0.000167,0.004556,0.001385,0.068837,1.566756,0.370996,1.181580,0.589282,7.609652,3.336100,2.009815,2.937876,0.674162,1.170449,-0.054086,0.389840,0.001476,0.000891,4
0.008409,0.001150,0.006301,0.000740,0.007392,0.001455,0.006276,0.001593,0.003547,0.000198,0.004980,0.001807,0.088991,0.519608,0.877625,2.192600,0.759524,8.121849,7.877310,2.381130,2.750426,0.282054,0.761705,-0.416037,0.878499,0.014118,0.002236,2
0.008283,0.000860,0.006531,0.000462,0.007465,0.001141,0.005896,0.001077,0.003608,0.000203,0.004843,0.001411,0.066076,0.577041,0.897105,2.721045,0.756783,8.259669,10.588189,2.522731,2.961675,0.325504,0.821651,-0.419388,0.892234,0.002960,0.003169,2
0.008521,0.000800,0.006964,0.000625,0.007788,0.001080,0.005296,0.001044,0.003511,0.000152,0.004476,0.001190,0.102164,0.561271,0.868694,2.131447,0.772012,7.560968,7.987281,2.322339,2.725362,0.337045,0.824893,-0.397670,0.862120,0.011464,0.008964,2
0.011188,0.002121,0.009020,0.002412,0.010161,0.002505,0.005343,0.001185,0.003509,0.000139,0.004508,0.001278,0.083812,0.388704,0.953821,3.512689,0.813984,10.114467,13.092002,2.532879,2.692360,0.248221,0.692264,-0.589992,0.948196,0.004002,0.009805,2
0.009002,0.000873,0.007246,0.001039,0.008149,0.001319,0.005040,0.000965,0.003465,0.000146,0.004298,0.001068,0.108828,0.519395,0.863871,1.968945,0.780145,8.176200,6.907810,2.300323,2.661498,0.314194,0.795077,-0.401544,0.864580,0.004295,0.003765,2
0.011578,0.000861,0.009492,0.002315,0.010387,0.002105,0.006132,0.001302,0.003626,0.000212,0.004790,0.001560,0.104329,0.685505,0.743825,1.389668,0.722554,8.863422,4.457014,2.124557,2.628419,0.352967,0.866234,-0.261744,0.746048,0.009726,0.012497,1
0.020181,0.003051,0.015987,0.004603,0.017674,0.004520,0.010099,0.005975,0.003678,0.000249,0.006628,0.005194,0.049872,1.048780,0.867017,3.939018,0.647228,9.792683,14.724204,2.582524,3.225339,0.466994,1.004810,-0.350794,0.863998,0.032431,0.030851,3
0.010684,0.001454,0.009807,0.002084,0.010268,0.001819,0.006118,0.001434,0.003595,0.000185,0.004977,0.001664,0.085954,0.682074,0.835110,2.152932,0.749154,7.821496,7.510789,2.358646,2.868049,0.399311,0.896882,-0.345344,0.838397,0.013153,0.018352,1
0.008633,0.000552,0.007741,0.000829,0.008159,0.000849,0.004852,0.000659,0.003437,0.000144,0.004135,0.000864,0.124958,0.843630,0.738653,1.664236,0.708835,6.599915,5.571078,2.034936,2.597151,0.452406,0.953432,-0.219212,0.694226,0.004728,0.013338,1
0.009027,0.000649,0.007982,0.001117,0.008498,0.001063,0.005795,0.001169,0.003450,0.000168,0.004660,0.001461,0.098721,0.631032,0.812068,1.701496,0.750854,8.383074,6.080426,2.259540,2.728623,0.360199,0.861455,-0.331038,0.814484,0.011934,0.012636,1
0.008302,0.000920,0.008226,0.001753,0.008238,0.001380,0.005717,0.001117,0.003435,0.000161,0.004640,0.001416,0.141447,0.492916,0.816560,1.105255,0.800988,6.406590,4.593828,2.067837,2.375729,0.321654,0.787181,-0.383337,0.828210,0.005486,0.005513,1
0.009027,0.000649,0.007982,0.001117,0.008498,0.001063,0.005795,0.001169,0.003450,0.000168,0.004660,0.001461,0.098721,0.631032,0.812068,1.701496,0.750854,8.383074,6.080426,2.259540,2.728623,0.360199,0.861455,-0.331038,0.814484,0.011934,0.012636,1
0.007541,0.000503,0.007374,0.000836,0.007445,0.000705,0.005015,0.000686,0.003449,0.000160,0.004194,0.000935,0.108422,1.035130,0.700488,1.819177,0.681393,7.725217,5.850866,2.131348,2.788387,0.540809,1.037997,-0.191078,0.673582,0.012871,0.008047,1
0.008633,0.000552,0.007741,0.000829,0.008159,0.000849,0.004852,0.000659,0.003437,0.000144,0.004135,0.000864,0.124958,0.843630,0.738653,1.664236,0.708835,6.599915,5.571078,2.034936,2.597151,0.452406,0.953432,-0.219212,0.694226,0.004728,0.013338,1
0.008120,0.001323,0.006695,0.001397,0.007463,0.001538,0.005585,0.001030,0.003477,0.000171,0.004634,0.001315,0.172350,0.401012,0.896798,1.929425,0.831215,7.382452,6.723809,2.115762,2.306530,0.279808,0.717307,-0.522411,0.903084,0.001427,0.014358,1
0.009584,0.000673,0.008791,0.001113,0.009196,0.000998,0.005450,0.000805,0.003559,0.000209,0.004593,0.001137,0.071778,0.830756,0.807942,2.139728,0.693213,6.250492,7.805401,2.340949,2.947875,0.408640,0.934826,-0.289479,0.794769,0.007062,0.003383,1
0.008251,0.001021,0.007202,0.001253,0.007701,0.001267,0.005432,0.000831,0.003497,0.000179,0.004453,0.001153,0.153195,0.524925,0.863864,1.908577,0.792245,7.515126,6.551433,2.129553,2.395502,0.336791,0.807430,-0.420510,0.857829,0.006051,0.006722,1
0.009485,0.001550,0.007159,0.001225,0.008389,0.001842,0.005611,0.001296,0.003382,0.000122,0.004583,0.001475,0.085248,0.401462,0.924551,2.677497,0.811475,8.188493,10.098927,2.472130,2.749765,0.256211,0.706071,-0.522440,0.925802,0.006822,0.006614,2
0.010883,0.001116,0.008716,0.001847,0.009848,0.001872,0.005852,0.000980,0.003603,0.000216,0.004818,0.001356,0.081286,0.520359,0.879980,2.122543,0.773952,9.170659,8.134349,2.422965,2.827206,0.305552,0.789905,-0.417416,0.881123,0.006976,0.013168,1
0.008883,0.000671,0.008041,0.000961,0.008449,0.000932,0.005346,0.000907,0.003528,0.000167,0.004480,0.001140,0.116824,0.814729,0.729324,1.489874,0.708915,6.134884,5.111264,2.034482,2.577123,0.429174,0.943781,-0.227352,0.695869,0.004759,0.006645,1
0.008812,0.000920,0.007819,0.001461,0.008347,0.001300,0.005835,0.001438,0.003432,0.000143,0.004755,0.001617,0.133856,0.475703,0.821363,1.394489,0.788144,9.526639,4.702452,2.104509,2.430130,0.288753,0.761937,-0.375932,0.825317,0.014362,0.011073,1
0.008392,0.000648,0.007775,0.001034,0.008067,0.000925,0.004948,0.000558,0.003505,0.000170,0.004217,0.000843,0.079657,0.781596,0.814373,2.024806,0.721524,7.081754,7.532416,2.350285,2.886706,0.428294,0.937901,-0.328785,0.824868,0.006056,0.004725,1
0.008511,0.000600,0.008726,0.001101,0.008591,0.000886,0.006076,0.001091,0.003627,0.000219,0.004921,0.001482,0.092544,0.667114,0.753238,1.244953,0.738926,5.618121,4.682356,2.138527,2.625507,0.368661,0.876192,-0.280223,0.763036,0.001584,0.001647,1
0.007781,0.000538,0.007995,0.000970,0.007882,0.000802,0.004881,0.000565,0.003514,0.000161,0.004199,0.000812,0.080068,0.915854,0.789767,2.118574,0.689750,5.945106,7.651736,2.303461,2.910201,0.467549,0.984143,-0.269595,0.775946,0.005085,0.011088,1
0.010684,0.001454,0.009807,0.002084,0.010268,0.001819,0.006118,0.001434,0.003595,0.000185,0.004977,0.001664,0.085954,0.682074,0.835110,2.152932,0.749154,7.821496,7.510789,2.358646,2.868049,0.399311,0.896882,-0.345344,0.838397,0.013153,0.018352,1
0.013724,0.001725,0.011596,0.003205,0.012627,0.002750,0.006457,0.001224,0.003744,0.000261,0.005177,0.001649,0.186236,0.423025,0.846202,1.401591,0.813606,7.302161,5.066363,1.965150,2.264195,0.277741,0.733423,-0.391056,0.818407,0.016505,0.002393,2
0.009445,0.001046,0.007930,0.000960,0.008728,0.001272,0.005840,0.001140,0.003628,0.000198,0.004818,0.001406,0.114911,0.575676,0.853099,1.944337,0.771351,7.656757,7.259211,2.264436,2.652318,0.348121,0.835420,-0.382161,0.846785,0.003462,0.003637,1
0.009664,0.000578,0.009378,0.000785,0.009501,0.000698,0.006336,0.001124,0.003699,0.000249,0.005103,0.001578,0.070176,0.991509,0.736357,1.894387,0.672880,7.001572,6.522953,2.297071,2.978564,0.486873,1.009483,-0.228569,0.733336,0.010100,0.009244,1
0.010026,0.000759,0.007641,0.001699,0.008714,0.001825,0.005923,0.001389,0.003552,0.000200,0.004681,0.001549,0.092973,0.757610,0.754796,1.671065,0.714543,9.979707,5.298348,2.219745,2.756061,0.395171,0.913664,-0.273374,0.770447,0.006245,0.011164,1
0.008813,0.000526,0.008680,0.000839,0.008734,0.000701,0.005753,0.000881,0.003722,0.000224,0.004798,0.001226,0.105067,0.810415,0.759110,1.656544,0.714487,5.770814,5.904131,2.158023,2.707240,0.437275,0.945677,-0.250736,0.737001,0.009032,0.005028,1
0.010067,0.000872,0.008572,0.001376,0.009326,0.001376,0.006344,0.001498,0.003573,0.000206,0.005053,0.001784,0.137815,0.454983,0.832093,1.359281,0.808642,8.183981,4.964344,2.074825,2.411538,0.299148,0.754763,-0.390567,0.830977,0.001494,0.002859,1
0.011313,0.001378,0.008486,0.002283,0.009737,0.002401,0.006094,0.001524,0.003539,0.000201,0.004749,0.001677,0.106922,0.412042,0.903846,1.888690,0.815230,8.982290,7.862732,2.337939,2.637007,0.270197,0.723344,-0.478110,0.905868,0.002597,0.028344,1
0.010233,0.000711,0.009058,0.001161,0.009674,0.001120,0.006162,0.001375,0.003658,0.000198,0.005046,0.001632,0.137550,0.529759,0.769174,1.159748,0.775211,7.913812,4.030472,2.017844,2.406066,0.315443,0.800555,-0.303629,0.762962,0.009345,0.007776,1
0.011239,0.001191,0.010153,0.001952,0.010687,0.001684,0.006732,0.001578,0.003614,0.000225,0.005294,0.001961,0.112672,0.583438,0.839551,1.908653,0.761906,8.191562,6.561741,2.217821,2.622289,0.339340,0.830276,-0.352464,0.827694,0.003065,0.005455,1
0.010908,0.000978,0.009955,0.001426,0.010417,0.001304,0.006747,0.001450,0.003685,0.000248,0.005326,0.001887,0.133772,0.701204,0.846625,2.289661,0.737902,5.987009,8.427271,2.141105,2.633276,0.394788,0.897327,-0.305821,0.785292,0.007830,0.006717,1
0.020181,0.003051,0.015987,0.004603,0.017674,0.004520,0.010099,0.005975,0.003678,0.000249,0.006628,0.005194,0.049872,1.048780,0.867017,3.939018,0.647228,9.792683,14.724204,2.582524,3.225339,0.466994,1.004810,-0.350794,0.863998,0.032431,0.030851,2
0.010664,0.001244,0.009910,0.002617,0.010194,0.002170,0.006866,0.001707,0.003660,0.000272,0.005055,0.001988,0.195359,0.388594,0.856718,1.322983,0.814456,8.992042,4.035746,1.900923,2.090558,0.248714,0.692979,-0.428287,0.840905,0.007620,0.011060,2
0.011548,0.001128,0.010276,0.002208,0.010774,0.001947,0.006802,0.001696,0.003676,0.000257,0.005025,0.001945,0.091695,0.536156,0.867587,1.757445,0.767883,8.183062,7.293524,2.354248,2.729654,0.309369,0.797232,-0.403756,0.873366,0.005437,0.007560,1
0.010731,0.001110,0.008095,0.001699,0.009233,0.001995,0.006061,0.001432,0.003522,0.000185,0.004683,0.001617,0.134188,0.550281,0.830097,1.662989,0.787953,7.996937,5.910149,2.151294,2.531268,0.352144,0.825025,-0.372554,0.832477,0.027708,0.007144,1
0.010117,0.000664,0.008685,0.001095,0.009309,0.001184,0.006138,0.001169,0.003650,0.000227,0.004797,0.001503,0.070870,0.795636,0.827010,2.321841,0.706919,8.242150,8.336786,2.412415,2.958537,0.409902,0.931447,-0.328182,0.831299,0.006325,0.006040,1
0.011578,0.000861,0.009492,0.002315,0.010387,0.002105,0.006132,0.001302,0.003626,0.000212,0.004790,0.001560,0.104329,0.685505,0.743825,1.389668,0.722554,8.863422,4.457014,2.124557,2.628419,0.352967,0.866234,-0.261744,0.746048,0.009726,0.012497,1
0.010473,0.001379,0.008465,0.001822,0.009369,0.001931,0.005879,0.000938,0.003619,0.000227,0.004675,0.001328,0.084024,0.538646,0.912013,2.756232,0.782525,7.830053,10.741161,2.478206,2.826326,0.334132,0.815087,-0.476143,0.912319,0.010953,0.008070,2
0.012792,0.001536,0.010132,0.002689,0.011197,0.002609,0.006282,0.001474,0.003630,0.000218,0.004809,0.001674,0.116055,0.594832,0.817341,1.446491,0.754700,8.339747,5.398591,2.197654,2.559019,0.336797,0.833601,-0.361485,0.823652,0.002338,0.008411,1
0.010345,0.000858,0.009647,0.001679,0.009919,0.001417,0.006197,0.001132,0.003641,0.000233,0.004818,0.001519,0.062373,0.899840,0.800588,2.263161,0.687533,7.165157,8.057965,2.393669,3.026200,0.449933,0.975117,-0.290381,0.801667,0.012074,0.002600,1
0.010733,0.000988,0.009536,0.002018,0.010042,0.001742,0.006277,0.001275,0.003625,0.000226,0.004852,0.001611,0.116960,0.536757,0.801897,1.468878,0.764703,9.961622,4.673662,2.139875,2.508847,0.304797,0.792865,-0.343761,0.814694,0.008535,0.001254,1
0.010845,0.001184,0.009016,0.002534,0.009774,0.002218,0.006148,0.001294,0.003584,0.000204,0.004776,0.001580,0.179600,0.468912,0.801274,0.888970,0.809067,7.864767,3.922127,1.869085,2.151625,0.311800,0.771875,-0.328310,0.772231,0.009924,0.002372,3
0.020181,0.003051,0.015987,0.004603,0.017674,0.004520,0.010099,0.005975,0.003678,0.000249,0.006628,0.005194,0.049872,1.048780,0.867017,3.939018,0.647228,9.792683,14.724204,2.582524,3.225339,0.466994,1.004810,-0.350794,0.863998,0.032431,0.030851,3
0.013724,0.001725,0.011596,0.003205,0.012627,0.002750,0.006457,0.001224,0.003744,0.000261,0.005177,0.001649,0.186236,0.423025,0.846202,1.401591,0.813606,7.302161,5.066363,1.965150,2.264195,0.277741,0.733423,-0.391056,0.818407,0.016505,0.002393,1
0.009445,0.001046,0.007930,0.000960,0.008728,0.001272,0.005840,0.001140,0.003628,0.000198,0.004818,0.001406,0.114911,0.575676,0.853099,1.944337,0.771351,7.656757,7.259211,2.264436,2.652318,0.348121,0.835420,-0.382161,0.846785,0.003462,0.003637,1
0.010664,0.001244,0.009910,0.002617,0.010194,0.002170,0.006866,0.001707,0.003660,0.000272,0.005055,0.001988,0.195359,0.388594,0.856718,1.322983,0.814456,8.992042,4.035746,1.900923,2.090558,0.248714,0.692979,-0.428287,0.840905,0.007620,0.011060,1
0.010845,0.001184,0.009016,0.002534,0.009774,0.002218,0.006148,0.001294,0.003584,0.000204,0.004776,0.001580,0.179600,0.468912,0.801274,0.888970,0.809067,7.864767,3.922127,1.869085,2.151625,0.311800,0.771875,-0.328310,0.772231,0.009924,0.002372,1
0.009204,0.001454,0.011301,0.002238,0.010085,0.002107,0.006858,0.001292,0.003661,0.000258,0.005465,0.001888,0.267661,0.393276,0.859822,1.094103,0.836305,3.537631,4.733470,1.665363,1.916574,0.278781,0.713175,-0.390768,0.789566,0.006809,0.001412,1
0.012568,0.001274,0.013168,0.001841,0.012780,0.001591,0.006067,0.000994,0.003617,0.000390,0.004954,0.001472,0.066205,1.045412,0.809545,2.758310,0.700956,6.211142,9.931543,2.424484,3.050816,0.595332,1.043618,-0.323674,0.832044,0.014934,0.009100,1
0.010859,0.001434,0.010420,0.001528,0.010613,0.001510,0.007105,0.001601,0.003620,0.000226,0.005434,0.002115,0.248051,0.450201,0.815166,1.201958,0.819993,3.465888,4.411551,1.636216,1.917155,0.309541,0.754304,-0.335456,0.737542,0.017610,0.014509,1
